oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
695111400012405,52045115,2458274.9479526221,58274.451157399999,18.6751213,0.0491860509,0,zg,10.966575199999999,41.263976499999998,1.08800006,-0.023,20180605451134,695,0xb,0x4,20.1000004,26.1990833,0.0382870696,-0.0633980781,2.04473599e-05,30,1.83000004,1
695111400012405,52346380,2458277.9607846718,58277.4638079,18.6991138,0.0500481725,0,zg,10.9665871,41.264009899999998,1.19299996,0.125,20180608463762,695,0xb,0x4,20.7600002,26.1384239,0.0303343199,-0.0756195635,8.97054088e-06,30,1.60300004,1
695111400012405,52645255,2458280.9497229345,58280.452557899996,18.65802,0.0485826023,0,zg,10.9665759,41.264019400000002,1.15699995,0.00499999989,20180611452546,695,0xb,0x4,21.1299992,26.2484531,0.0273233838,-0.0643045828,6.53396182e-06,30,1.63199997,1
695111400012405,52944888,2458283.9462503656,58283.448888899999,18.6120281,0.0470039807,0,zg,10.966627600000001,41.264012200000003,0.694000006,0.0170000009,20180614448866,695,0xb,0x4,20.8799992,26.237236,0.0299287345,-0.0694802776,8.00289217e-06,30,1.58899999,1
695111400012405,53245130,2458286.9488733863,58286.451307900003,18.6353779,0.0477974266,0,zg,10.966633,41.263979599999999,0.898000002,-0.0579999983,20180617451308,695,0xb,0x4,21.1000004,26.2948189,0.0287619904,-0.0819014758,7.25771133e-06,30,1.49899995,1
695111400012405,53542804,2458289.9258182659,58289.428044,18.6017609,0.0466602184,0,zg,10.966650599999999,41.264011600000003,1.88499999,0.0879999995,20180620428044,695,0xb,0x4,20.8999996,26.2292461,0.0297935847,-0.0530717149,7.68342579e-06,30,1.63199997,1
695111400012405,53742096,2458291.9188780077,58291.4209606,18.5770378,0.0458451584,0,zg,10.966601300000001,41.263997000000003,1.40900004,0.0599999987,20180622420694,695,0xb,0x4,21.3500004,26.255064,0.0281537622,-0.070461899,6.75329375e-06,30,1.64999998,2
695111400012405,53744849,2458291.946414825,58291.4484954,18.5996151,0.046588771,0,zg,10.9666216,41.264005099999999,1.89199996,0.128000006,20180622448437,695,0xb,0x4,21.3500004,26.2926216,0.0260336678,-0.0717871785,5.92836705e-06,30,1.421,2
695111400012405,53845266,2458292.9506545281,58292.452662000003,18.6144867,0.0470867418,0,zg,10.966606000000001,41.264006999999999,1.83299994,0.157000005,20180623452639,695,0xb,0x4,21.4599991,26.2895412,0.0241377018,-0.0571198091,5.00259739e-06,30,1.37600005,1
695111400012405,53943324,2458293.9313051822,58293.433240699997,18.6990929,0.0500473902,0,zg,10.9666573,41.264000299999999,1.80700004,-0.00400000019,20180624433032,695,0xb,0x4,20.8600006,26.2756748,0.0322896317,-0.0998293161,9.32153671e-06,30,1.49199998,2
695111400012405,53944946,2458293.9475332922,58293.449467600003,18.645401,0.0481430627,0,zg,10.966643100000001,41.264005900000001,1.46000004,-0.0240000002,20180624449271,695,0xb,0x4,21.2600002,26.3233547,0.0296315793,-0.102810591,7.64026208e-06,30,1.38,2
695111400012405,54247248,2458296.9707795014,58296.472488400002,18.7285843,0.051132217,0,zg,10.966574100000001,41.2640137,0.963,0.108999997,20180627472465,695,0xb,0x4,20.1599998,26.2874069,0.0330315419,-0.0466445647,1.5753425e-05,30,1.22000003,1
695111400012405,54344454,2458297.9429131988,58297.444548599997,18.6262932,0.0474867672,0,zg,10.9666839,41.263964600000001,0.575999975,0.115999997,20180628444433,695,0xb,0x4,19.9899998,26.2570953,0.0350385718,-0.0449390151,2.06522291e-05,30,1.34300005,2
695111400012405,54346436,2458297.9627295174,58297.464363400002,18.6091576,0.0469075628,0,zg,10.9666683,41.263990200000002,0.778999984,0.131999999,20180628464340,695,0xb,0x4,19.8899994,26.2567291,0.0359313712,-0.0430791229,2.34632589e-05,30,1.24300003,2
695111400012405,54446574,2458298.9641830693,58298.465740699998,18.6080513,0.0468704626,0,zg,10.966685099999999,41.264009100000003,0.541000009,0.0520000011,20180629465590,695,0xb,0x4,19.8199997,26.2439823,0.0356487706,-0.0252576042,2.31951435e-05,30,1.22599995,2
695111400012405,54545876,2458299.9572800645,58299.458761599999,18.5976963,0.0465250202,0,zg,10.9666605,41.264005099999999,1.24000001,0.0790000036,20180630458738,695,0xb,0x4,20.3700008,26.2251015,0.0347010605,-0.0195099376,1.52945995e-05,30,1.24399996,2
