oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
793110400000661,44837100,2458202.8734132964,58202.371006900001,19.5370598,0.0960927978,0,zg,226.8302237,55.747190400000001,0.381000012,0.0179999992,20180325370984,793,0xa,0x4,21.4799995,26.2704983,0.0263953954,-0.0726680011,1.42081872e-05,30,1.12899995,2
793110400000661,44838249,2458202.8849064284,58202.3825,19.4923248,0.0928676054,0,zg,226.83021859999999,55.747187500000003,1.20700002,-0.131999999,20180325382488,793,0xa,0x4,21.6700001,26.2847538,0.0255208109,-0.0821602196,1.33936692e-05,30,1.11199999,2
793110400000661,44936142,2458203.8638320738,58203.361423599999,19.453804,0.0901680067,0,zg,226.830016,55.747175400000003,0.60799998,-0.0930000022,20180326361412,793,0xa,0x4,20.8600006,26.2842369,0.0320248194,-0.10442172,2.38719294e-05,30,1.14100003,2
793110400000661,44938556,2458203.8879756178,58203.385567099998,19.5837078,0.0995596871,0,zg,226.8300595,55.747244700000003,0.792999983,-0.0370000005,20180326385556,793,0xa,0x4,21.0200005,26.261137,0.03042279,-0.0645152479,2.05300039e-05,30,1.10500002,2
793110400000661,44939027,2458203.8926863251,58203.390277799997,19.5639381,0.0980774015,0,zg,226.8302286,55.747175200000001,0.952000022,-0.129999995,20180326390266,793,0xa,0x4,21.2000008,26.2623959,0.0287372321,-0.0652493611,1.74942343e-05,30,1.09899998,1
793110400000661,44940560,2458203.9080104535,58203.405601899998,19.4335823,0.0887793005,0,zg,226.83024649999999,55.747189400000003,0.558000028,0.00300000003,20180326405567,793,0xa,0x4,21.2299995,26.2720299,0.0322085954,-0.0528017282,2.16993139e-05,30,1.08599997,1
793110400000661,44940701,2458203.90942246,58203.407013900003,19.4278259,0.088387534,0,zg,226.8301568,55.747177600000001,0.453999996,0.0260000005,20180326407014,793,0xa,0x4,21.2999992,26.2682896,0.0271826107,-0.0442717336,1.58802377e-05,30,1.08500004,2
793110400000661,45034695,2458204.8493658826,58204.346956000001,19.4557114,0.0903000012,0,zg,226.83002970000001,55.747164099999999,1.09399998,-0.00200000009,20180327346910,793,0xa,0x4,20.3999996,26.291151,0.0339349918,-0.095716089,3.48866743e-05,30,1.16400003,2
793110400000661,45036043,2458204.8628497054,58204.360439800002,19.3946514,0.0861604214,0,zg,226.8300897,55.747087100000002,0.769999981,-0.0489999987,20180327360394,793,0xa,0x4,20.4300003,26.304121,0.03729482,-0.106762193,4.09021741e-05,30,1.13800001,2
793110400000661,45039121,2458204.8936252431,58204.391215299998,19.3881035,0.0857269689,0,zg,226.8301577,55.747118200000003,1.17799997,-0.120999999,20180327391204,793,0xa,0x4,20.5100002,26.2995281,0.0345862247,-0.0991936773,3.38973987e-05,30,1.09599996,2
793110400000661,45039891,2458204.9013219485,58204.398911999997,19.5438232,0.0965888128,0,zg,226.8301362,55.747199199999997,0.277999997,0.0120000001,20180327398900,793,0xa,0x4,20.5799999,26.3102875,0.0357549749,-0.105846018,3.22524975e-05,30,1.08899999,2
793110400000661,45041953,2458204.9219469749,58204.419537000002,19.3518486,0.083363384,0,zg,226.8301257,55.747182899999999,0.973999977,-0.0500000007,20180327419537,793,0xa,0x4,20.7800007,26.2933254,0.0355505534,-0.0838240758,2.94640686e-05,30,1.07700002,2
793110400000661,45043788,2458204.9402918918,58204.437881899998,19.5909138,0.100104749,0,zg,226.8302846,55.747152100000001,0.922999978,-0.136999995,20180327437789,793,0xa,0x4,20.7900009,26.3063984,0.0349357612,-0.0845652744,2.86723516e-05,30,1.074,2
