object_id,mjd_peak,mag_peak,plot_path
ZTF23aadcbay,60016.5173032,16.7349701,data/plots_with_peak_time/ZTF23aadcbay.png
ZTF18aabkvpi,58781.5437269,15.1334677,data/plots_with_peak_time/ZTF18aabkvpi.png
ZTF21abqtckk,59478.17887730012,18.3541432384472,data/plots_with_peak_time/ZTF21abqtckk.png
ZTF24aazlori,60545.27645830018,18.660933743794384,data/plots_with_peak_time/ZTF24aazlori.png
ZTF19abidbya,58694.3974653,18.5864716,data/plots_with_peak_time/ZTF19abidbya.png
ZTF20acwytxn,59215.57341440022,18.0448640758734,data/plots_with_peak_time/ZTF20acwytxn.png
ZTF22aaddwbo,59699.2771759,18.2937107,data/plots_with_peak_time/ZTF22aaddwbo.png
ZTF22aaigqsr,60567.1641667,15.7453337,data/plots_with_peak_time/ZTF22aaigqsr.png
ZTF22aaftmjp,59699.2771759,18.2937107,data/plots_with_peak_time/ZTF22aaftmjp.png
ZTF18acaqdaa,58431.1383681,18.1010456,data/plots_with_peak_time/ZTF18acaqdaa.png
ZTF22abajudi,59900.2513079,16.9737206,data/plots_with_peak_time/ZTF22abajudi.png
ZTF24abmzcpa,60627.27940970007,18.80458884161544,data/plots_with_peak_time/ZTF24abmzcpa.png
ZTF19abzrhgq,58763.4995949,15.4745216,data/plots_with_peak_time/ZTF19abzrhgq.png
ZTF22aavvqyh,59796.475544000044,17.761300207527746,data/plots_with_peak_time/ZTF22aavvqyh.png
ZTF19aavxfib,58447.5545255,16.6449432,data/plots_with_peak_time/ZTF19aavxfib.png
ZTF25aaymnha,60881.39871530002,18.008967192938012,data/plots_with_peak_time/ZTF25aaymnha.png
ZTF20acaazkt,60081.22401619982,16.74065408024841,data/plots_with_peak_time/ZTF20acaazkt.png
ZTF22aadghqe,59707.3972338,16.3465004,data/plots_with_peak_time/ZTF22aadghqe.png
ZTF24aajvvhj,60450.2432407,17.7874908,data/plots_with_peak_time/ZTF24aajvvhj.png
ZTF24abmaujk,59970.1079398,17.5200386,data/plots_with_peak_time/ZTF24abmaujk.png
ZTF24aatxshz,60513.2689005,18.4244576,data/plots_with_peak_time/ZTF24aatxshz.png
ZTF21abcgnqn,59409.1984028,16.9788971,data/plots_with_peak_time/ZTF21abcgnqn.png
ZTF22aaaihgr,59639.2496296,18.0791321,data/plots_with_peak_time/ZTF22aaaihgr.png
