objectId,ra,decl,tns_name,tns_prefix,disc_mag,disc_mag_filter,type,z,hostz,host_name,ext_catalogs,disc_int_name,disc_date,lastmodified_date,sender,reporters,source_group,htm16,lasairmodified_date,id
ZTF25aagevje,115.24599,16.5315623,2025chm,TDE,19.523,,TDE,0.101,None,None,None,"ZTF25aagevje, GOTO25asg, ATLAS25bzy","Feb. 20, 2025, 8:39 a.m.","Feb. 28, 2025, 11:19 a.m.",ZTF,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU)...",ZTF,62641409591,"May 5, 2025, 10:13 a.m.",17636
ZTF25aafywpr,130.68995,-4.8198764442,2025ccg,TDE,20.293,,TDE-He,0.2,None,None,None,"ZTF25aafywpr, ATLAS25bxk, , GOTO25aza, PS25amr","Feb. 18, 2025, 7:44 a.m.","March 22, 2025, 5:31 p.m.",ALeRCE,"S. Jurado, F.E. Bauer, F. Forster, G. Pignata, A. Munoz-Arancibia, A. Moura...",ZTF,39200743974,"May 5, 2025, 10:13 a.m.",10691
ZTF25aafwfzz,278.69451,31.8347904,2025cyh,TDE,19.356,,TDE,0.105,None,None,None,ZTF25aafwfzz,"Feb. 15, 2025, 12:56 p.m.","March 14, 2025, 11:37 p.m.",ZTF,"Daniel Perley (LJMU), Christoffer Fremling (Caltech), Theophile du Laz (Cal...",ZTF,54491062837,"May 5, 2025, 10:13 a.m.",12998
ZTF25aafofcs,212.66849,-10.7991667,2025bri,TDE,18.531,,TDE-He,0.061,None,None,None,"ZTF25aafofcs, GOTO25ahk","Feb. 15, 2025, 11:47 a.m.","Feb. 22, 2025, 10:35 p.m.",ALeRCE,"S. Jurado, F.E. Bauer, F. Forster, G. Pignata, A. Munoz-Arancibia, A. Moura...",ZTF,43716204294,"May 5, 2025, 10:14 a.m.",18983
ZTF25aadwdoo,158.49545,14.68810704163,2024admt,TDE,19.762,,TDE-He,0.1105,None,None,None,"ZTF24abwsfdk, GOTO24ixe, ATLAS24rvz","Dec. 2, 2024, 11:35 a.m.","March 11, 2025, 10:34 a.m.",ALeRCE,"A. Munoz-Arancibia, F.E. Bauer, G. Pignata, F. Forster, A. Mourao, L. Herna...",ZTF,61183594616,"May 5, 2025, 10:13 a.m.",14429
ZTF25aacnkte,48.02420,-14.100933,2025axp,TDE,19.353,,TDE-He,0.1045,None,None,None,"ZTF25aacnkte, ATLAS25brs","Jan. 31, 2025, 3:02 a.m.","March 1, 2025, 6:54 a.m.",ZTF,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU)...",ZTF,38073058615,"May 5, 2025, 10:13 a.m.",17312
ZTF25aabebve,169.73002,19.7425462,2024agqx,TDE,20.745,,TDE-He,0.194,None,None,None,"ZTF25aabebve, GOTO25lf","Dec. 30, 2024, 11:28 a.m.","Feb. 7, 2025, 10:15 p.m.",ZTF,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU)...",ZTF,61122414152,"May 5, 2025, 10:14 a.m.",22511
ZTF25aaayywb,160.12697,-4.9911825,2025ug,TDE,20.224,,TDE,0.1331,None,None,None,"ZTF25aaayywb, ATLAS25axz, GOTO25qp","Jan. 6, 2025, 9:36 a.m.","May 30, 2025, 12:11 a.m.",ZTF,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU)...",ZTF,41752931331,"May 31, 2025, 12:10 a.m.",496648
ZTF24abyhjvc,231.41368,17.6807034,2024aepd,TDE,19.797,,TDE,0.0835,None,None,None,"ZTF24abyhjvc, ATLAS24rqf, GOTO24jqq","Dec. 5, 2024, 1:24 p.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,"Eli Gendreau-Distler (UC Berkeley), Jesper Sollerman (SU), Christoffer Frem...",ZTF,59437247843,"May 5, 2025, 10:14 a.m.",24341
ZTF24abwsfdk,158.49545,14.68810704163,2024admt,TDE,19.762,,TDE-He,0.1105,None,None,None,"ZTF24abwsfdk, GOTO24ixe, ATLAS24rvz","Dec. 2, 2024, 11:35 a.m.","March 11, 2025, 10:34 a.m.",ALeRCE,"A. Munoz-Arancibia, F.E. Bauer, G. Pignata, F. Forster, A. Mourao, L. Herna...",ZTF,61183594616,"May 5, 2025, 10:13 a.m.",14429
ZTF24abmzcpa,101.81823,41.9653019556,2024zau,TDE,20.960,,TDE,0.0815,None,None,None,"ZTF24abmzcpa, ATLAS24qbw, GOTO24isw, PS24oef","Oct. 12, 2024, 10:50 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU)...",ZTF,63410685870,"May 5, 2025, 10:14 a.m.",24344
ZTF24abmybnp,122.80202,20.380401,2024yqo,TDE,20.087,,TDE,0.06168,None,None,None,"ZTF24abmybnp, ATLAS24pvc,","Oct. 14, 2024, 10:51 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU)...",ZTF,63759289828,"May 5, 2025, 10:14 a.m.",24347
ZTF24abmaujk,1.71904,-17.3368358,2024ymu,TDE,19.451,,TDE,0.12,None,None,None,ZTF24abmaujk,"Oct. 11, 2024, 5:34 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,"Nabeel Rehemtulla (CIERA, NU), Christoffer Fremling (Caltech), Daniel Perle...",ZTF,34437684827,"May 5, 2025, 10:14 a.m.",24350
ZTF24abjfuew,81.65967,-17.9151889343,2024wsd,TDE,20.005,,TDE,0.063,None,None,None,"ZTF24abjfuew, ATLAS24owa, GOTO24haq, PS24jti","Sept. 25, 2024, 11:27 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU)...",ZTF,37440374222,"May 5, 2025, 10:14 a.m.",24353
ZTF24abiqyej,352.79971,22.2589455206,2024pvu,TDE,18.918,,TDE,0.048,None,None,None,"ZTF18abxnvoz, GOTO24erd, ZTF24abiqyej, PS21oqk","July 10, 2024, 10:41 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,"Kate Bostow (UC Berkeley), Jesper Sollerman (SU), Christoffer Fremling (Cal...",ZTF,52538852717,"May 5, 2025, 10:14 a.m.",24368
ZTF24abfuwbm,80.20879,-20.5422862,2024vip,TDE,19.796,,TDE,0.089,None,None,None,"ZTF24abfuwbm, A202502030520501m203232","Sept. 11, 2024, 11:09 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU)...",ZTF,37425799633,"May 5, 2025, 10:14 a.m.",24356
ZTF24abfaake,123.61309,9.0004074,2024ule,TDE,19.596,,TDE-H-He,0.111,None,None,None,"ZTF24abfaake, GOTO24gjt, ATLAS24pgo","Sept. 2, 2024, 12:09 p.m.","March 11, 2025, 10:35 a.m.",ZTF,"Daniel Perley (LJMU), Christoffer Fremling (Caltech), Theophile du Laz (Cal...",ZTF,62791481107,"May 5, 2025, 10:13 a.m.",14426
ZTF24abdmewj,7.48768,32.893753,2016fnl,TDE,17.227,,TDE,0.016328,None,None,None,iPTF16fnl,"Aug. 29, 2016, 10:09 a.m.","Jan. 26, 2025, 7:40 a.m.",iPTF,"M. Kasliwal, Y. Cao (Caltech), on behalf of iPTF",iPTF,67362335105,"May 5, 2025, 10:14 a.m.",24488
ZTF24aazlori,344.37003,39.428992,2024rny,TDE,20.744,,TDE,0.1055,None,None,None,"ZTF24aazlori, ATLAS24oct, GOTO24git","Aug. 3, 2024, 8:08 a.m.","Jan. 26, 2025, 7:40 a.m.",SGLF,"I. P?rez-Fournon, F. Poidevin (IAC and ULL), C. Ja?n-Mart?n (ULL), C. Jim?n...",ZTF,55344918969,"May 5, 2025, 10:14 a.m.",24362
