time_days,luminosity,flux_mjy,bh_mass_msun
6.476630053833254,1.1041626559438268e-07,1.0225123898660891e-33,1000000.0
6.976630053833254,1.158619025023017e+25,0.10729418368237893,1000000.0
7.476630053833254,2.6386007241718785e+25,0.24434823237787884,1000000.0
7.976630053833254,3.950030195370742e+25,0.3657934628896949,1000000.0
8.476630053833254,5.062548654661864e+25,0.468818492984335,1000000.0
8.976630053833254,5.941300450699019e+25,0.5501955069802495,1000000.0
9.476630053833254,6.5948279409327925e+25,0.6107155718714967,1000000.0
9.976630053833254,7.171021071953016e+25,0.6640740704814956,1000000.0
10.476630053833254,8.141284845240211e+25,0.7539255723669979,1000000.0
10.976630053833254,9.989159733618796e+25,0.9250484552247246,1000000.0
11.476630053833254,1.3175496554487985e+26,1.2201199159453653,1000000.0
11.976630053833254,1.8018619359653755e+26,1.668618427216964,1000000.0
12.476630053833254,2.465229859964951e+26,2.282931832654052,1000000.0
12.976630053833254,3.3055644831964725e+26,3.0611256605853203,1000000.0
13.476630053833254,4.310752596589347e+26,3.9919824456409296,1000000.0
13.976630053833254,5.463308840218947e+26,5.059309829686002,1000000.0
14.476630053833254,6.743439768558098e+26,6.2447780465572595,1000000.0
14.976630053833254,8.130839167654297e+26,7.529582479701213,1000000.0
15.476630053833254,9.605690866101931e+26,8.895372317602117,1000000.0
15.976630053833254,1.1149218099275502e+27,10.324759293805007,1000000.0
16.476630053833254,1.2743976186680285e+27,11.801588721455472,1000000.0
16.976630053833254,1.4373995306026066e+27,13.31107170956195,1000000.0
17.476630053833254,1.6024831535311172e+27,14.839832430636104,1000000.0
17.976630053833254,1.7683559432898167e+27,16.375901249454692,1000000.0
18.476630053833254,1.9338726532398356e+27,17.90867258294178,1000000.0
18.976630053833254,2.0980283156443816e+27,19.428839904049426,1000000.0
19.476630053833254,2.2599496822249922e+27,20.928316476830258,1000000.0
19.976630053833254,2.4188857896273465e+27,22.40014798771467,1000000.0
20.476630053833254,2.5741981294499676e+27,23.838421514833506,1000000.0
20.976630053833254,2.725350771957574e+27,25.238174068436347,1000000.0
21.476630053833254,2.8719006912711555e+27,26.59530299708974,1000000.0
21.976630053833254,3.013488463184555e+27,27.906479844591725,1000000.0
22.476630053833254,3.149829450165296e+27,29.16906871846749,1000000.0
22.976630053833254,3.280705541777433e+27,30.381049801963467,1000000.0
23.476630053833254,3.4059574899107546e+27,31.540948374259518,1000000.0
23.976630053833254,3.525477848297086e+27,32.6477694266958,1000000.0
