,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid,flux,timedays,simulated_flux,simulated_mag,original_mag
46,793110400000661,47332502,2458227.8272858,58227.3250231,19.4728489,0.0914938003,0,zg,226.8300538,55.7472131,0.573000014,-0.0350000001,20180419324988,793,0xa,0x4,21.2999992,26.2413235,0.0321555696,-0.0302311461,2.16211265e-05,30,1.09899998,2,0.059001145024768976,58227.3250231,0.059001145024768976,19.472848899999995,19.472848899999995
47,793110400000661,47334671,2458227.8489754014,58227.346713,19.4956303,0.0931026042,0,zg,226.8301595,55.7472421,1.39699996,0.0680000037,20180419346667,793,0xa,0x4,21.2900009,26.2470913,0.0324073397,-0.0291227456,2.2079952e-05,30,1.08099997,3,0.05777605439998699,58227.346713,0.05777605439998699,19.495630299999995,19.495630299999995
48,793110400000661,47334854,2458227.8508040747,58227.3485417,19.4692211,0.0912399292,0,zg,226.8301826,55.7472611,0.867999971,-0.0799999982,20180419348542,793,0xa,0x4,21.2999992,26.253685,0.0307319537,-0.0387218148,2.00225622e-05,30,1.08000004,2,0.059198616885535765,58227.3485417,0.059198616885535765,19.46922109999999,19.46922109999999
49,793110400000661,47337464,2458227.8769032224,58227.3746412,19.5209827,0.0949224904,0,zg,226.8301686,55.7472059,0.713,-0.0890000015,20180419374618,793,0xa,0x4,21.4500008,26.2624779,0.0272002257,-0.0381472372,1.5329264e-05,30,1.074,2,0.05644258816027505,58227.3746412,0.05644258816027505,19.520982699999998,19.520982699999998
50,793110400000661,47529958,2458229.801817667,58229.2995833,19.5856991,0.09971001,32768,zg,226.8301496,55.7472198,0.813000023,-0.0120000001,20180421299583,793,0xa,0x4,21.5300007,26.3026447,0.0322676785,-0.143151119,2.16098651e-05,30,1.125,2,0.05317657477573945,58229.2995833,0.05317657477573945,19.585699099999992,19.585699099999992
51,793110400000661,47532577,2458229.8280094867,58229.3257755,19.5335464,0.0958360061,32768,zg,226.8301818,55.7471733,0.657999992,-0.0240000002,20180421325741,793,0xa,0x4,21.5400009,26.3044968,0.0314489938,-0.136175156,2.07849534e-05,30,1.09300005,2,0.055793221719297625,58229.3257755,0.055793221719297625,19.5335464,19.5335464
52,793110400000661,47532721,2458229.829444563,58229.3272106,19.6460457,0.104359224,32768,zg,226.8302246,55.7471908,0.941999972,0.0900000036,20180421327164,793,0xa,0x4,21.6000004,26.3049965,0.0297703035,-0.13083744,1.85392837e-05,30,1.09200001,1,0.05030159080679218,58229.3272106,0.05030159080679218,19.646045699999995,19.646045699999995
53,793110400000661,47532819,2458229.8304283475,58229.3281944,19.5294666,0.0955384895,32768,zg,226.8301553,55.7472183,1.21700001,-0.074000001,20180421328148,793,0xa,0x4,21.5599995,26.309433,0.0326297581,-0.135235608,2.22677991e-05,30,1.09099996,3,0.05600326665221087,58229.3281944,0.05600326665221087,19.5294666,19.5294666
54,793110400000661,47534601,2458229.848252194,58229.3460185,19.663475,0.105735339,32768,zg,226.8301993,55.7470928,1.39600003,-0.131999999,20180421345972,793,0xa,0x4,21.4400005,26.3044415,0.0348712578,-0.124354571,2.55248033e-05,30,1.079,2,0.049500547218792566,58229.3460185,0.049500547218792566,19.663475,19.663475
55,793110400000661,47635115,2458230.853375736,58230.3511574,19.5293694,0.0955314562,0,zg,226.8302094,55.7471948,0.524999976,-0.0480000004,20180422351111,793,0xa,0x4,21.8700008,26.2796001,0.0292902403,-0.100014545,1.76148496e-05,30,1.07599998,3,0.05600828054155699,58230.3511574,0.05600828054155699,19.5293694,19.5293694
