Unnamed: 0,d:cdsxmatch,d:mulens,d:nalerthist,d:rf_kn_vs_nonkn,d:rf_snia_vs_nonia,d:roid,d:snn_sn_vs_all,d:snn_snia_vs_nonia,i:aimage,i:aimagerat,i:bimage,i:bimagerat,i:candid,i:chinr,i:chipsf,i:classtar,i:clrcoeff,i:clrcounc,i:clrmed,i:clrrms,i:dec,i:decnr,i:diffmaglim,i:distnr,i:distpsnr1,i:distpsnr2,i:distpsnr3,i:drb,i:drbversion,i:dsdiff,i:dsnrms,i:elong,i:exptime,filtercode,i:field,i:fink_broker_version,i:fink_science_version,i:fwhm,i:isdiffpos,mjd,i:jdendhist,i:jdendref,i:jdstarthist,i:jdstartref,i:magap,i:magapbig,i:magdiff,i:magfromlim,i:maggaia,i:maggaiabright,i:magnr,mag,i:magzpsci,i:magzpscirms,i:magzpsciunc,i:mindtoedge,i:nbad,i:ncovhist,i:ndethist,i:neargaia,i:neargaiabright,i:nframesref,i:nid,i:nmatches,i:nmtchps,i:nneg,i:objectId,i:objectidps1,i:objectidps2,i:objectidps3,i:pdiffimfilename,i:pid,i:programid,i:programpi,i:publisher,i:ra,i:ranr,i:rb,i:rbversion,i:rcid,i:rfid,i:schemavsn,i:scorr,i:seeratio,i:sgmag1,i:sgmag2,i:sgmag3,i:sgscore1,i:sgscore2,i:sgscore3,i:sharpnr,i:sigmagap,i:sigmagapbig,i:sigmagnr,i:sigmapsf,i:simag1,i:simag2,i:simag3,i:sky,i:srmag1,i:srmag2,i:srmag3,i:ssdistnr,i:ssmagnr,i:ssnamenr,i:ssnrms,i:sumrat,i:szmag1,i:szmag2,i:szmag3,i:tblid,i:tooflag,i:xpos,i:ypos,i:zpclrcov,i:zpmed,d:DR3Name,d:Plx,d:anomaly_score,d:blazar_stats_m0,d:blazar_stats_m1,d:blazar_stats_m2,d:delta_time,d:e_Plx,d:from_upper,d:gcvs,d:jd_first_real_det,d:jdstarthist_dt,d:lc_features_g,d:lc_features_r,d:lower_rate,d:mag_rate,d:mangrove_2MASS_name,d:mangrove_HyperLEDA_name,d:mangrove_ang_dist,d:mangrove_lum_dist,d:sigma_rate,d:spicy_class,d:spicy_id,d:tns,d:upper_rate,d:vsx,d:x3hsp,d:x4lac,d:gaiaClass,d:gaiaVarFlag,d:is_transient,d:slsn_score,d:tracklet,v:classification,v:rate,v:sigma(rate),v:g-r,v:sigma(g-r),v:rate(g-r),v:sigma(rate(g-r)),v:lastdate,v:firstdate,v:lapse,v:constellation,flux,timedays,simulated_flux,simulated_mag,original_mag
66,Seyfert_1,0,23,0,0,0,0,0,0.841,0.35485232,0.775,0.32700422,1609211600515010000,1.849,9.759715,0.999,-0.081161,1.40561e-05,0.623,0.311786,2.6790257,2.6790537,20.475958,0.17974344,0.15568806,5.0094814,5.331353,0.9998651,d6_m7,-56.59006,61.28626,1.0851613,30,zg,473,1.4,0.5.1,2.37,f,2459363.7116088,2459363.7116088,2458438.019965,2458267.794456,2458204.800903,17.6269,17.6386,0.0157029999999999,2.8490584,15.497171,13.138939,15.667,17.611197,26.389196,0.035946,8.4355e-06,138.7185,0,671,515,0.14740397,56.714104,28,1609,477,13,0,ZTF18aaxejis,111211858506165280,111211858493306018,111211858497153965,ztf_20210529211609_000473_zg_c02_o_q2_scimrefdiffimg.fits,1609211600515,1,Kulkarni,Fink,185.8505279,185.8505701,0.95857143,t17_f5_c3,5,473120105,3.3,15.3141069412,1.1673721,13.251,-999.0,-999.0,0.232208,0.5,0.5,0.132,0.0353,0.0418,0.026,0.04703927,15.6026,-999,-999,0.06300703,15.6088,-999.0,-999.0,-999,-999,,117.87632,1.0,15.7646,20.2895,19.256,0,0,1476.3481,138.7185,-9.97e-06,26.339,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,Seyfert_1,0.0133475212,0.0332563951,0.830679,0.0778347706,0.0015596885,0.0602382876,2021-05-29 05:04:43.000,2018-05-29 07:04:00.998,1095.9171528001,Virgo,0.3277337746746694,0.0,0.3277337746746694,17.611196999999997,17.611196999999997
67,Seyfert_1,0,23,0,0,0,0,0,0.739,0.30286884,0.718,0.2942623,1611190930515010000,1.849,22.596476,0.999,-0.0849559999999999,1.41917e-05,0.631,0.3121839999999999,2.6790297,2.6790537,20.5514,0.24392633,0.23586948,4.9315267,5.29099,0.99993515,d6_m7,-68.435455,62.688587,1.0292479,30,zg,473,1.4,0.5.1,2.44,f,2459365.6909375,2459365.6909375,2458438.019965,2458267.794456,2458204.800903,17.5388,17.5293,0.007626,3.0126,15.497171,13.138939,15.667,17.531174,26.339174,0.037014,8.5467e-06,128.4616,0,676,520,0.22779807,56.780437,28,1611,482,13,2,ZTF18aaxejis,111211858506165280,111211858493306018,111211858497153965,ztf_20210531190938_000473_zg_c02_o_q2_scimrefdiffimg.fits,1611190930515,1,Kulkarni,Fink,185.8505058,185.8505701,0.95857143,t17_f5_c3,5,473120105,3.3,12.9845352173,1.0573939,13.251,-999.0,-999.0,0.232208,0.5,0.5,0.132,0.033,0.0381,0.026,0.06924755,15.6026,-999,-999,-0.6206594,15.6088,-999.0,-999.0,-999,-999,,131.12404,1.0,15.7646,20.2895,19.256,0,0,1510.4526,128.4616,-1.008e-05,26.286,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,Seyfert_1,-0.0404293638,0.0422937823,,,,,2021-05-31 04:34:57.000,2018-05-29 07:04:00.998,1097.8964815,Virgo,0.3528014813596905,2.0,0.3528014813596905,17.531174,17.531174
68,Seyfert_1,0,22,0,0,0,0,0,0.977,0.35656935,0.932,0.34014598,1615229610515010000,1.849,6.818582,0.985,-0.062947,2.22335e-05,0.61,0.3097709999999999,2.6790519,2.6790537,20.294807,0.14168307,0.19880676,4.979717,5.410222,0.99937654,d6_m7,-87.86184,43.553276,1.0482832,30,zg,473,1.4,0.5.1,2.74,f,2459369.7296181,2459369.7296181,2458438.019965,2458267.794456,2458204.800903,17.157,17.144,-0.033538,3.1378067,15.497171,13.138939,15.667,17.190538,26.293537,0.037131,1.30643e-05,103.0247,0,691,534,0.18941864,56.773315,28,1615,468,13,0,ZTF18aaxejis,111211858506165280,111211858493306018,111211858497153965,ztf_20210604229618_000473_zg_c02_o_q2_scimrefdiffimg.fits,1615229610515,1,Kulkarni,Fink,185.8505309,185.8505701,0.95714283,t17_f5_c3,5,473120105,3.3,18.6119422913,1.1225655,13.251,-999.0,-999.0,0.232208,0.5,0.5,0.132,0.0242,0.028,0.026,0.05300558,15.6026,-999,-999,0.1155365999999999,15.6088,-999.0,-999.0,-999,-999,,131.41512,1.0,15.7646,20.2895,19.256,0,0,1464.621,103.0247,-1.559e-05,26.255,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,Seyfert_1,-0.0843433868,0.0215925935,0.601518,0.0863192593,-0.0380792034,0.0193135907,2021-06-04 05:30:39.004,2018-05-29 07:04:00.998,1101.9351621,Virgo,0.4828194978181717,6.0,0.500936605255933,17.15054307919204,17.190537999999997
69,Seyfert_1,0,22,0,0,0,0,0,0.753,0.35518867,0.723,0.34103775,1617191480515010000,1.849,17.249561,0.983,-0.075748,1.66761e-05,0.627,0.311251,2.6790308,2.6790537,20.49524,0.14212021,0.13263977,5.0322847,5.3673162,0.99993074,d6_m7,-95.96788,131.3888,1.0414938,30,zg,473,1.4,0.5.1,2.12,f,2459371.6914815,2459371.6914815,2458438.019965,2458267.794456,2458204.800903,16.9668,16.9506,-0.05073,3.52844,15.497171,13.138939,15.667,17.01753,26.34653,0.0364209999999999,9.9894e-06,128.7713,0,694,536,0.12363303,56.703243,28,1617,477,13,0,ZTF18aaxejis,111211858506165280,111211858493306018,111211858497153965,ztf_20210606191435_000473_zg_c02_o_q2_scimrefdiffimg.fits,1617191480515,1,Kulkarni,Fink,185.8505373,185.8505701,0.9442857,t17_f5_c3,5,473120105,3.3,30.078414917,1.2216104,13.251,-999.0,-999.0,0.232208,0.5,0.5,0.132,0.02,0.0231,0.026,0.035928864,15.6026,-999,-999,-0.3895864,15.6088,-999.0,-999.0,-999,-999,,227.35667,1.0,15.7646,20.2895,19.256,0,0,1483.812,128.7713,-1.182e-05,26.298,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,Seyfert_1,-0.0881855485,0.0326398615,,,,,2021-06-06 04:35:44.002,2018-05-29 07:04:00.998,1103.8970255,Virgo,0.5662236434846515,8.0,1.1293184804111882,16.26795891228179,17.01753
70,Seyfert_1,0,22,0,0,0,0,0,1.065,0.31323528,1.039,0.30558825,1619257150515010000,1.849,3.0686584,0.989,-0.034338,2.02956e-05,0.608,0.305818,2.6789904,2.6790537,20.258345,0.23607408,0.102657266,5.1362963,5.288595,0.99987245,d6_m7,-87.11877,72.880424,1.025024,30,zg,473,1.4,0.5.1,3.4,f,2459373.7571528,2459373.7571528,2458438.019965,2458267.794456,2458204.800903,17.035,17.0212,-0.0150949999999999,3.2233448,15.497171,13.138939,15.667,17.050095,26.253096,0.03142,1.17145e-05,118.1577,0,697,538,0.10382169,56.568012,28,1619,462,13,0,ZTF18aaxejis,111211858506165280,111211858493306018,111211858497153965,ztf_20210608257153_000473_zg_c02_o_q2_scimrefdiffimg.fits,1619257150515,1,Kulkarni,Fink,185.85055,185.8505701,0.9442857,t17_f5_c3,5,473120105,3.3,26.7971458435,0.964289,13.251,-999.0,-999.0,0.232208,0.5,0.5,0.132,0.0215,0.0248,0.026,0.046896443,15.6026,-999,-999,-0.1019533,15.6088,-999.0,-999.0,-999,-999,,159.99919,1.0,15.7646,20.2895,19.256,0,0,1463.9303,118.1577,-1.411e-05,26.233,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,Seyfert_1,0.0157648509,0.0285996969,0.510495,0.0663287965,-0.0226001777,0.0270289691,2021-06-08 06:10:18.002,2018-05-29 07:04:00.998,1105.9626968,Virgo,0.5494927921054749,10.0,1.8599316851900856,15.726257517532936,17.050094999999992
71,Seyfert_1,0,21,0,0,0,0,0,1.035,0.3254717,0.991,0.31163523,1621187520515010000,1.849,15.595714,0.983,-0.076614,2.29165e-05,0.608,0.305567,2.6790136,2.6790537,20.196398,0.17528385,0.09404985,5.07657,5.333632,0.99859405,d6_m7,-97.583496,57.44368,1.0443996,30,zg,473,1.4,0.5.1,3.18,f,2459375.6875231,2459375.6875231,2458438.019965,2458267.794456,2458204.800903,16.9145,16.8931,-0.034127,3.281898,15.497171,13.138939,15.667,16.948627,26.371628,0.039173,1.32769e-05,143.3664,0,698,539,0.08725951,56.645424,28,1621,461,13,0,ZTF18aaxejis,111211858506165280,111211858493306018,111211858497153965,ztf_20210610187442_000473_zg_c02_o_q2_scimrefdiffimg.fits,1621187520515,1,Kulkarni,Fink,185.8505428,185.8505701,0.93,t17_f5_c3,5,473120105,3.3,40.0117607117,0.98832005,13.251,-999.0,-999.0,0.232208,0.5,0.5,0.132,0.0197,0.0229,0.026,0.04499636,15.6026,-999,-999,-0.5967793,15.6088,-999.0,-999.0,-999,-999,,155.02718,1.0,15.7646,20.2895,19.256,0,0,1486.5691,143.3664,-1.598e-05,26.325,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,Seyfert_1,-0.0525640081,0.0336681067,,,,,2021-06-10 04:30:01.996,2018-05-29 07:04:00.998,1107.8930671001,Virgo,0.6033220527132003,12.0,2.851137758706061,15.262454495834994,16.948626999999995
72,Seyfert_1,0,21,0,0,0,0,0,0.684,0.29868996,0.64,0.279476,1623186670515010000,1.849,23.034771,1.0,-0.069634,1.34966e-05,0.629,0.312624,2.6790342,2.6790537,20.565548,0.09029042,0.097257785,5.0810413,5.4154634,0.9996542,d6_m7,-116.38779,196.4943,1.06875,30,zg,473,1.4,0.5.1,2.29,f,2459377.6866782,2459377.6866782,2458438.019965,2458267.794456,2458204.800903,16.7958,16.7919,-0.008765,3.7697482,15.497171,13.138939,15.667,16.804565,26.360565,0.033253,8.1368e-06,142.7757,0,703,544,0.08806773,56.670063,28,1623,479,13,2,ZTF18aaxejis,111211858506165280,111211858493306018,111211858497153965,ztf_20210612186632_000473_zg_c02_o_q2_scimrefdiffimg.fits,1623186670515,1,Kulkarni,Fink,185.8505538,185.8505701,0.9285714,t17_f5_c3,5,473120105,3.3,17.9857063293,1.0514587,13.251,-999.0,-999.0,0.232208,0.5,0.5,0.132,0.0171,0.02,0.026,0.036622576,15.6026,-999,-999,-0.5707460999999999,15.6088,-999.0,-999.0,-999,-999,,312.88208,1.0,15.7646,20.2895,19.256,0,0,1479.0345,142.7757,-9.59e-06,26.316,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,Seyfert_1,-0.0720614424,0.0290203856,0.4877149999999999,0.0638937669,-0.0057971377,0.0234372717,2021-06-12 04:28:48.996,2018-05-29 07:04:00.998,1109.8922222001,Virgo,0.6889282600320379,14.0,3.935241349126064,14.912571567805252,16.804565000000004
73,Seyfert_1,0,22,0,0,0,0,0,0.664,0.2656,0.647,0.2588,1625208030515010000,1.849,23.11243,0.984,-0.077676,1.62445e-05,0.628,0.3117749999999999,2.67904,2.6790537,20.506462,0.07441405,0.113526374,5.0756774,5.4335604,0.9999825,d6_m7,-117.54028,245.07385,1.0262752,30,zg,473,1.4,0.5.1,2.5,f,2459379.7080324,2459379.7080324,2458438.019965,2458267.794456,2458204.800903,16.578,16.5722,-0.012241,3.9284616,15.497171,13.138939,15.667,16.59024,26.33724,0.036537,9.748e-06,106.9266,0,706,546,0.104682535,56.68234,28,1625,474,13,1,ZTF18aaxejis,111211858506165280,111211858493306018,111211858497153965,ztf_20210614208021_000473_zg_c02_o_q2_scimrefdiffimg.fits,1625208030515,1,Kulkarni,Fink,185.8505548,185.8505701,0.92714286,t17_f5_c3,5,473120105,3.3,21.301158905,0.9525867,13.251,-999.0,-999.0,0.232208,0.5,0.5,0.132,0.0146,0.0171,0.026,0.030888902,15.6026,-999,-999,-0.2070912,15.6088,-999.0,-999.0,-999,-999,,362.61414,1.0,15.7646,20.2895,19.256,0,0,1481.8289,106.9266,-1.152e-05,26.288,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,Seyfert_1,-0.1060304028,0.0237017733,0.418602,0.0652800702,-0.0341914346,0.0451899801,2021-06-14 04:59:33.999,2018-05-29 07:04:00.998,1111.9135763999,Virgo,0.8392744459339488,16.0,5.052617062208539,14.641209039221271,16.59024
74,Seyfert_1,0,23,0,0,0,0,0,0.915,0.3961039,0.775,0.33549783,1627279580515010001,1.849,1.22519,0.969,-0.194676,0.040263824,0.55,0.180249,2.6790184,2.6790537,17.015146,0.15244499,0.09478074,5.2374835,5.4707355,0.9979787,d6_m7,-6.6744084,4.155318,1.1806451,30,zg,473,1.4,0.5.1,2.31,f,2459381.7795833,2459381.7795833,2458438.019965,2458267.794456,2458204.800903,17.0881,17.0044,0.285165,-0.07295287,15.497171,13.138939,15.667,16.802935,23.759935,0.253027,0.016220815,78.6512,0,712,552,0.09973772,56.52682,28,1627,48,13,3,ZTF18aaxejis,111211858506165280,111211858493306018,111211858497153965,ztf_20210616279572_000473_zg_c02_o_q2_scimrefdiffimg.fits,1627279580515,1,Kulkarni,Fink,185.8505944,185.8505701,0.74,t17_f5_c3,5,473120105,3.3,10.0018138885,1.2761555,13.251,-999.0,-999.0,0.232208,0.5,0.5,0.132,0.3537,0.4197,0.026,0.16366814,15.6026,-999,-999,3.125349,15.6088,-999.0,-999.0,-999,-999,,10.829726,1.0,15.7646,20.2895,19.256,1,0,1439.359,78.6512,-0.02450389,23.563,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,Seyfert_1,0.1026742814,0.0804022969,,,,,2021-06-16 06:42:35.997,2018-05-29 07:04:00.998,1113.9851273,Virgo,0.6899633147879576,18.0,5.784109969366929,14.49440864672018,16.802934999999998
75,Seyfert_1,0,19,0,0,0,0,0,0.978,0.3349315,0.927,0.31746575,1637248330515010000,1.849,5.093808,0.985,-0.0448589999999999,6.916270000000001e-05,0.534,0.2605719999999999,2.679013,2.6790537,18.916183,0.14643955,0.027716255,5.1871257,5.412897,0.9999635,d6_m7,-40.8579,28.26755,1.0550162,30,zg,473,1.4,0.5.1,2.92,f,2459391.7483333,2459391.7483333,2458438.019965,2458267.794456,2458204.800903,16.7005,16.6944,0.0235809999999999,2.215684,15.497171,13.138939,15.667,16.67692,26.126919,0.0379129999999999,3.1134000000000004e-05,84.7151,0,715,555,0.033948857,56.558388,28,1637,277,13,0,ZTF18aaxejis,111211858506165280,111211858493306018,111211858497153965,ztf_20210626248287_000473_zg_c02_o_q2_scimrefdiffimg.fits,1637248330515,1,Kulkarni,Fink,185.8505765,185.8505701,0.96,t17_f5_c3,5,473120105,3.3,33.8518562317,1.1141932,13.251,-999.0,-999.0,0.232208,0.5,0.5,0.132,0.0404,0.0508,0.026,0.038045574,15.6026,-999,-999,2.037218,15.6088,-999.0,-999.0,-999,-999,,69.12545,1.0,15.7646,20.2895,19.256,0,0,1463.7566,84.7151,-4.276e-05,26.101,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,Seyfert_1,-0.0126410031,0.0168558665,,,,,2021-06-26 05:57:35.997,2018-05-29 07:04:00.998,1123.9538773,Virgo,0.7748756256182788,28.0,6.637060894648183,14.345060494282578,16.676920000000003
