Unnamed: 0,d:cdsxmatch,d:mulens,d:nalerthist,d:rf_kn_vs_nonkn,d:rf_snia_vs_nonia,d:roid,d:snn_sn_vs_all,d:snn_snia_vs_nonia,i:aimage,i:aimagerat,i:bimage,i:bimagerat,i:candid,i:chinr,i:chipsf,i:classtar,i:clrcoeff,i:clrcounc,i:clrmed,i:clrrms,i:dec,i:decnr,i:diffmaglim,i:distnr,i:distpsnr1,i:distpsnr2,i:distpsnr3,i:drb,i:drbversion,i:dsdiff,i:dsnrms,i:elong,i:exptime,filtercode,i:field,i:fink_broker_version,i:fink_science_version,i:fwhm,i:isdiffpos,mjd,i:jdendhist,i:jdendref,i:jdstarthist,i:jdstartref,i:magap,i:magapbig,i:magdiff,i:magfromlim,i:maggaia,i:maggaiabright,i:magnr,mag,i:magzpsci,i:magzpscirms,i:magzpsciunc,i:mindtoedge,i:nbad,i:ncovhist,i:ndethist,i:neargaia,i:neargaiabright,i:nframesref,i:nid,i:nmatches,i:nmtchps,i:nneg,i:objectId,i:objectidps1,i:objectidps2,i:objectidps3,i:pdiffimfilename,i:pid,i:programid,i:programpi,i:publisher,i:ra,i:ranr,i:rb,i:rbversion,i:rcid,i:rfid,i:schemavsn,i:scorr,i:seeratio,i:sgmag1,i:sgmag2,i:sgmag3,i:sgscore1,i:sgscore2,i:sgscore3,i:sharpnr,i:sigmagap,i:sigmagapbig,i:sigmagnr,i:sigmapsf,i:simag1,i:simag2,i:simag3,i:sky,i:srmag1,i:srmag2,i:srmag3,i:ssdistnr,i:ssmagnr,i:ssnamenr,i:ssnrms,i:sumrat,i:szmag1,i:szmag2,i:szmag3,i:tblid,i:tooflag,i:xpos,i:ypos,i:zpclrcov,i:zpmed,d:DR3Name,d:Plx,d:anomaly_score,d:delta_time,d:e_Plx,d:from_upper,d:gcvs,d:jd_first_real_det,d:jdstarthist_dt,d:lc_features_g,d:lc_features_r,d:lower_rate,d:mag_rate,d:mangrove_2MASS_name,d:mangrove_HyperLEDA_name,d:mangrove_ang_dist,d:mangrove_lum_dist,d:sigma_rate,d:spicy_class,d:spicy_id,d:upper_rate,d:vsx,d:x3hsp,d:x4lac,d:tns,d:blazar_stats_m0,d:blazar_stats_m1,d:blazar_stats_m2,d:gaiaClass,d:gaiaVarFlag,d:is_transient,d:slsn_score,d:tracklet,v:classification,v:rate,v:sigma(rate),v:g-r,v:sigma(g-r),v:rate(g-r),v:sigma(rate(g-r)),v:lastdate,v:firstdate,v:lapse,v:constellation,flux,timedays,simulated_flux,simulated_mag,original_mag
92,Seyfert_1,0,3,0,0,0,0,0,0.704,0.32592592,0.655,0.30324075,2478463020115010007,1.97,2.9017162,0.981,-0.0493,7.333700000000001e-06,0.591,0.292697,31.0676351,31.067631,20.63889,0.0361613,0.12126389,15.80592,22.247934,0.9999994,d6_m7,-31.666824,57.301346,1.0748092,30,zg,663,3.1,4.10.0,2.16,f,2460232.9630208,2460232.9630208,2458426.956042,2458101.7775926,2458166.744873,18.1787,18.2186,-0.020706,2.4601893,16.854937,11.441242,16.532,18.199406,26.290405,0.028748,4.112000000000001e-06,812.1,0,2169,658,0.12073362,46.879234,16,2478,984,5,2,ZTF18aaabauf,145281206808571712,145281206782636270,145271206762915985,ztf_20231015463009_000663_zg_c01_o_q2_scimrefdiffimg.fits,2478463020115,1,Kulkarni,Fink,120.6808365,120.6808487,0.9442857,t17_f5_c3,1,663120101,3.3,9.5442457199,1.1183779,17.0132,-999,21.3589,0.123042,0,0.00945833,0.161,0.0509,0.0637,0.025,0.06673014,16.2739,21.471,20.575,-0.1404721,16.5131,21.4196,21.0652,-999,-999.0,,88.96817,1.0,16.0847,-999,20.6328,7,0,812.1,919.8665,-5.05e-06,26.262,Gaia DR3 877768208656046592,-0.1126,-0.4407102626,,0.1638,,Unknown,,,[],[],,,08024343+3104031,,200.0783176347308,220.374633124,,,,,Unknown,Unknown,Unknown,,,,,,,,,,Seyfert_1,0.0146224503,0.0048136164,,,,,2023-10-15 11:06:44.997,2017-12-14 06:39:44.001,2131.1854282003,Gemini,0.190650346972057,0.0,0.190650346972057,18.199406000000003,18.199406000000003
93,Seyfert_1,0,4,0,0,0,0,0,0.716,0.32694063,0.666,0.3041096,2480474240115010014,1.97,2.1225758,0.982,-0.036251,6.1855e-06,0.591,0.293938,31.0676343,31.067631,20.69974,0.05398801,0.12594876,15.798967,22.233515,0.9999923,d6_m7,-38.505814,70.71066,1.075075,30,zg,663,3.1,4.10.0,2.19,f,2460234.9742477,2460234.9742477,2458426.956042,2458101.7775926,2458166.744873,18.0508,18.006,0.04843,2.6489396,16.854937,11.441242,16.532,18.00237,26.27937,0.0251909999999999,3.4825e-06,835.098,0,2171,659,0.1259795,46.8844,16,2480,975,5,4,ZTF18aaabauf,145281206808571712,145281206782636270,145271206762915985,ztf_20231017474236_000663_zg_c01_o_q2_scimrefdiffimg.fits,2480474240115,1,Kulkarni,Fink,120.6808303,120.6808487,0.92142856,t17_f5_c3,1,663120101,4.02,9.6582269669,1.1184692,17.0132,-999,21.3589,0.123042,0,0.00945833,0.161,0.0434,0.0498,0.025,0.051824357,16.2739,21.471,20.575,0.1579152,16.5131,21.4196,21.0652,-999,-999.0,,109.21648,0.9835804,16.0847,-999,20.6328,14,0,835.098,921.0195,-4.27e-06,26.259,Gaia DR3 877768208656046592,-0.1126,-0.4067080643,,0.1638,,Unknown,,,[],[],,,08024343+3104031,,200.0783176347308,220.374633124,,,,,Unknown,Unknown,Unknown,,,,,,,,,,Seyfert_1,-0.0979680612,0.0420095233,,,,,2023-10-17 11:22:55.001,2017-12-14 06:39:44.001,2133.1966551002,Gemini,0.2285872484617755,2.0,0.2285872484617755,18.002370000000006,18.002370000000006
94,Seyfert_1,0,5,0,0,0,0,0,0.8,0.27586207,0.78,0.2689654999999999,2482432260115010010,1.97,5.586629,0.983,-0.047341,8.373000000000001e-06,0.593,0.294097,31.0676255,31.067631,20.492506,0.047549263,0.089890175,15.835042,22.220161,0.9999995,d6_m7,-43.771957,55.342575,1.0256411,30,zg,663,3.1,4.10.0,2.9,f,2460236.9322685,2460236.9322685,2458426.956042,2458101.7775926,2458166.744873,17.8734,17.8377,-0.0109389999999999,2.6191053,16.854937,11.441242,16.532,17.884338,26.262339,0.0299749999999999,4.7324e-06,833.9386,0,2173,661,0.08992535,46.84843,16,2482,973,5,0,ZTF18aaabauf,145281206808571712,145281206782636270,145271206762915985,ztf_20231019432268_000663_zg_c01_o_q2_scimrefdiffimg.fits,2482432260115,1,Kulkarni,Fink,120.6808359,120.6808487,0.9457143,t17_f5_c3,1,663120101,4.02,22.0652103424,0.9179199,17.0132,-999,21.3589,0.123042,0,0.00945833,0.161,0.0396,0.0463,0.025,0.053624056,16.2739,21.471,20.575,-0.5251471,16.5131,21.4196,21.0652,-999,-999.0,,99.11453,1.0,16.0847,-999,20.6328,10,0,833.9386,905.71,-5.7900000000000005e-06,26.234,Gaia DR3 877768208656046592,-0.1126,-0.3963711635,,0.1638,,Unknown,,,[],[],,,08024343+3104031,,200.0783176347308,220.374633124,,,,,Unknown,Unknown,Unknown,,,,,,,,,,Seyfert_1,-0.06028128,0.0380864936,0.020385,0.0736118695,-0.0041998436,0.0031304386,2023-10-19 10:22:27.998,2017-12-14 06:39:44.001,2135.1546759,Gemini,0.2548383590976585,4.0,5.0361180619625205,14.64476024314503,17.884338000000007
95,Seyfert_1,0,7,0,0,0,0,0,0.725,0.32079646,0.66,0.2920354,2484442080115010011,1.97,5.547416,0.985,-0.045992,7.175000000000001e-06,0.593,0.294274,31.067626,31.067631,20.585623,0.05980569,0.10164103,15.823736,22.208939,0.99999917,d6_m7,-39.03253,74.990585,1.0984849,30,zg,663,3.1,5.0.0,2.26,f,2460238.9420833,2460238.9420833,2458426.956042,2458101.7775926,2458166.744873,17.8394,17.8637,-0.026226,2.7462223,16.854937,11.441242,16.532,17.865625,26.271626,0.0281,4.0519e-06,827.8345,0,2176,664,0.10221692,46.858128,16,2484,976,5,1,ZTF18aaabauf,145281206808571712,145281206782636270,145271206762915985,ztf_20231021442072_000663_zg_c01_o_q2_scimrefdiffimg.fits,2484442080115,1,Kulkarni,Fink,120.6808295,120.6808487,0.95285714,t17_f5_c3,1,663120101,4.02,21.0343151093,1.1064085,17.0132,-999,21.3589,0.123042,0,0.00945833,0.161,0.0377,0.0465,0.025,0.06564313,16.2739,21.471,20.575,0.1660227,16.5131,21.4196,21.0652,-999,-999.0,,114.02312,1.0,16.0847,-999,20.6328,11,0,827.8345,903.8867,-4.96e-06,26.245,Gaia DR3 877768208656046592,-0.1126,-0.434156376,,0.1638,,Unknown,,,[],[],,,08024343+3104031,,200.0783176347308,220.374633124,,,,,Unknown,Unknown,Unknown,,,,,,,,,,Seyfert_1,-0.0093108081,0.0421739273,0.084159,0.088424096,0.0317312819,0.057246298,2023-10-21 10:36:35.997,2017-12-14 06:39:44.001,2137.1644907002,Gemini,0.2592686462169245,6.0,26.425078944691325,12.844959266419115,17.865625
96,Seyfert_1,0,10,0,0,0,0,0,1.267,0.30977994,1.208,0.29535452,2487446870115010012,1.97,1.6903014,0.98,-0.0519479999999999,1.44968e-05,0.579,0.280813,31.0676152,31.067631,20.117327,0.17272758,0.17056759,15.805941,22.111746,0.9999495,d6_m7,-43.51658,20.362556,1.0488411,30,zg,663,3.1,5.1.0,4.09,f,2460241.946875,2460241.946875,2458426.956042,2458101.7775926,2458166.744873,17.7832,17.7551,-0.108583,2.3341274,16.854937,11.441242,16.532,17.891783,26.274782,0.0359909999999999,7.6024e-06,784.9981,0,2180,668,0.17316045,46.865807,16,2487,947,5,0,ZTF18aaabauf,145281206808571712,145281206782636270,145271206762915985,ztf_20231024446863_000663_zg_c01_o_q2_scimrefdiffimg.fits,2487446870115,1,Kulkarni,Fink,120.6807953,120.6808487,0.8328571300000001,t17_f5_c3,1,663120101,4.02,29.8676815033,0.8758806,17.0132,-999,21.3589,0.123042,0,0.00945833,0.161,0.0374,0.0444,0.025,0.07427162,16.2739,21.471,20.575,-0.1026788,16.5131,21.4196,21.0652,-999,-999.0,,63.879135,1.0,16.0847,-999,20.6328,12,0,784.9981,916.2547,-9.68e-06,26.245,Gaia DR3 877768208656046592,-0.1126,-0.4102459544,,0.1638,,Unknown,,,[],[],,,08024343+3104031,,200.0783176347308,220.374633124,,,,,Unknown,Unknown,Unknown,,,,,,,,,,Seyfert_1,0.0087054287,0.0329881839,0.163801,0.09230364,0.0265049987,0.0425398033,2023-10-24 10:43:30.000,2017-12-14 06:39:44.001,2140.1692824,Gemini,0.2530968849449273,9.0,46.1084388245462,12.240548955531665,17.891782999999997
97,Seyfert_1,0,13,0,0,0,0,0,1.108,0.30190736,1.059,0.28855586,2494514440115010010,1.97,1.6427243,0.984,-0.029605,3.32392e-05,0.53,0.245532,31.0675952,31.067631,19.38551,0.16096577,0.10946526,15.897668,22.0941,0.9999754,d6_m7,-25.81297,13.708672,1.04627,30,zg,663,3.1,5.2.0,3.67,f,2460249.0144444,2460249.0144444,2458426.956042,2458101.7775926,2458166.744873,17.7405,17.7845,0.01096,1.6450092,16.854937,11.441242,16.532,17.72954,26.35354,0.03823,1.4167e-05,801.8787,0,2190,677,0.112847045,46.77586,16,2494,703,5,0,ZTF18aaabauf,145281206808571712,145281206782636270,145271206762915985,ztf_20231031514433_000663_zg_c01_o_q2_scimrefdiffimg.fits,2494514440115,1,Kulkarni,Fink,120.6808145,120.6808487,0.93142855,t17_f5_c3,1,663120101,4.02,24.9948596954,0.96743226,17.0132,-999,21.3589,0.123042,0,0.00945833,0.161,0.0627,0.0826,0.025,0.06296359,16.2739,21.471,20.575,1.361356,16.5131,21.4196,21.0652,-999,-999.0,,39.52164,1.0,16.0847,-999,20.6328,10,0,801.8787,961.9871,-2.011e-05,26.338,Gaia DR3 877768208656046592,-0.1126,-0.3860236112,,0.1638,,Unknown,,,[],[],,,08024343+3104031,,200.0783176347308,220.374633124,,,,,Unknown,Unknown,Unknown,,,,,,,,,,Seyfert_1,-0.0229559826,0.0137768467,0.0795159999999999,0.0859340206,-0.0119255992,0.0178439722,2023-10-31 12:20:47.996,2017-12-14 06:39:44.001,2147.2368518002,Gemini,0.2938894526301024,16.0,62.22663302089631,11.915059243320798,17.729540000000007
98,Seyfert_1,0,14,0,0,0,0,0,0.741,0.2590909,0.681,0.23811188,2499446000115010006,1.97,15.993173,0.986,-0.038828,9.3827e-06,0.589,0.292205,31.0676223,31.067631,20.290133,0.033930223,0.072769895,15.85344,22.22215,0.99999976,d6_m7,-43.557995,43.318058,1.0881057,30,zg,663,3.1,5.2.0,2.86,f,2460253.9460069,2460253.9460069,2458426.956042,2458101.7775926,2458166.744873,17.6291,17.646,0.00824,2.661033,16.854937,11.441242,16.532,17.62086,26.32686,0.03007,5.2331e-06,819.6379,0,2192,679,0.0723436,46.830997,16,2499,968,5,0,ZTF18aaabauf,145281206808571712,145281206782636270,145271206762915985,ztf_20231105445995_000663_zg_c01_o_q2_scimrefdiffimg.fits,2499446000115,1,Kulkarni,Fink,120.6808414,120.6808487,0.93857145,t17_f5_c3,1,663120101,4.02,29.6070957184,0.8600488,17.0132,-999,21.3589,0.123042,0,0.00945833,0.161,0.0381,0.0479,0.025,0.059165537,16.2739,21.471,20.575,0.3461011,16.5131,21.4196,21.0652,-999,-999.0,,86.87605,1.0,16.0847,-999,20.6328,6,0,819.6379,937.2318,-6.45e-06,26.305,Gaia DR3 877768208656046592,-0.1126,-0.3891807037,,0.1638,,Unknown,,,[],[],,,08024343+3104031,,200.0783176347308,220.374633124,,,,,Unknown,Unknown,Unknown,,,,,,,,,,Seyfert_1,-0.0220376402,0.0175198192,0.102403,0.0808714599,0.0046409226,0.0239282371,2023-11-05 10:42:14.996,2017-12-14 06:39:44.001,2152.1684143003,Gemini,0.3248299011785588,21.0,67.22179351410212,11.831224761245984,17.62086
99,Seyfert_1,0,16,0,0,0,0,0,1.126,0.30765027,1.092,0.29836065,2503490260115010010,1.97,4.5505924,0.982,-0.0603649999999999,1.56979e-05,0.582,0.2836829999999999,31.0676006,31.067631,20.173319,0.1969864999999999,0.17069952,15.849172,22.0677,0.9999634,d6_m7,-55.00431,34.792107,1.0311356,30,zg,663,3.1,5.2.0,3.66,f,2460257.9902662,2460257.9902662,2458426.956042,2458101.7775926,2458166.744873,17.6047,17.6142,-0.020659,2.5686193,16.854937,11.441242,16.532,17.625359,26.341358,0.038563,8.3844e-06,790.7869,0,2197,684,0.17392255,46.820156,16,2503,945,5,0,ZTF18aaabauf,145281206808571712,145281206782636270,145271206762915985,ztf_20231109490255_000663_zg_c01_o_q2_scimrefdiffimg.fits,2503490260115,1,Kulkarni,Fink,120.6807935,120.6808487,0.9114286,t17_f5_c3,1,663120101,4.02,52.1684074402,0.98022854,17.0132,-999,21.3589,0.123042,0,0.00945833,0.161,0.0303,0.0371,0.025,0.049605325,16.2739,21.471,20.575,0.5374548,16.5131,21.4196,21.0652,-999,-999.0,,89.79642,1.0,16.0847,-999,20.6328,10,0,790.7869,969.7483,-1.057e-05,26.306,Gaia DR3 877768208656046592,-0.1126,-0.3902680336,,0.1638,,Unknown,,,"[16.927350827333, 16.913630093678535, 0.07214235864708946, 16.9263568375942, 0.11646270523670843, 0.3, 0.3870845125058315, 0.20116600063056822, -0.055055108481110615, 0.00835516114092892, 9.13077645548757E-4, 0.022596953550764555, 0.008584401038202415, 0.0017928634075031738, 0.30453951611021185, 0.1797842205809493, 0.601060210413858, 0.03030182331259451, 0.036209583273263846, 0.0, 0.13111924407114017, 0.004261881223055852, 0.2423255979021999, 2.8180193231302546, -0.24278411330884048, 0.7921164018846999]","[16.213607208965318, 16.211566260345716, 0.030720616594811755, 16.20913144634894, 0.04476890490702523, 0.3333333333333333, 0.3564105186401173, 0.08387406132576203, 1.2029755874081607, 0.004707556111309504, 5.069869068317015E-4, 0.007232168573454419, 0.004680703272291791, 0.0031979483098791748, 0.025385962942527117, 0.07649251545677821, 0.594840425954768, 0.009147389892746724, 0.016450237837613457, 0.3333333333333333, 0.05651084983504617, 0.0018947428662157784, 0.2269154331946021, 0.448767847997423, 0.8618199135558916, 0.7636559495791045]",,,08024343+3104031,,200.0783176347308,220.374633124,,,,,Unknown,Unknown,Unknown,,,,,,,,,,Seyfert_1,0.001112441,0.0190910423,0.00404,0.0805666068,-0.0243216354,0.0282262206,2023-11-09 11:45:59.000,2017-12-14 06:39:44.001,2156.2126736003,Gemini,0.3234866779797243,25.0,61.70763782335097,11.924152695296035,17.625358999999996
100,Seyfert_1,0,18,0,0,0,0,0,0.952,0.35,0.912,0.33529413,2505424060115010010,1.97,13.484153,0.982,-0.0436029999999999,9.4357e-06,0.595,0.293803,31.0676078,31.067631,20.346819,0.14535752,0.13299762,15.845285,22.112247,0.9999813,d6_m7,-58.439907,46.317005,1.0438596,30,zg,663,3.1,5.2.0,2.72,f,2460259.9240625,2460259.9240625,2458426.956042,2458101.7775926,2458166.744873,17.5793,17.5541,-0.006436,2.7675183,16.854937,11.441242,16.532,17.585735,26.305737,0.031021,5.3482e-06,791.6135,0,2199,686,0.13593449,46.827976,16,2505,980,5,0,ZTF18aaabauf,145281206808571712,145281206782636270,145271206762915985,ztf_20231111424062_000663_zg_c01_o_q2_scimrefdiffimg.fits,2505424060115,1,Kulkarni,Fink,120.680806,120.6808487,0.94857144,t17_f5_c3,1,663120101,4.02,60.7328224182,1.1025351,17.0132,-999,21.3589,0.123042,0,0.00945833,0.161,0.0303,0.0359,0.025,0.05027764,16.2739,21.471,20.575,0.1608561,16.5131,21.4196,21.0652,-999,-999.0,,104.75691,1.0,16.0847,-999,20.6328,10,0,791.6135,950.6312,-6.54e-06,26.281,Gaia DR3 877768208656046592,-0.1126,-0.3850085498,,0.1638,,Unknown,,,"[16.938413733277248, 16.923106040951698, 0.07765595981098679, 16.944581590805857, 0.1269146749926957, 0.45454545454545453, 0.39166510595389264, 0.20472067155318996, -0.4101375177942317, 0.008140531530807725, 7.412312593150043E-4, 0.02156992676098174, 0.008356360653763316, 0.0015378846952294365, 0.2775249728065502, 0.17069729311097862, 0.6900223900080129, 0.03030182331259451, 0.04711396947652702, 0.18181818181818182, 0.14934399728279857, 0.0045846063884024575, 0.25374889883045715, 3.202251457027633, -0.22710194417012172, 0.8133803806236978]","[16.21668325562278, 16.214663727945055, 0.029200993326313467, 16.211108626149887, 0.04476890490702523, 0.2857142857142857, 0.3815872735132098, 0.07978483616905763, 0.27551963988749417, 0.0033230642949221454, 7.744534063004927E-4, 0.014782896506643712, 0.003341134535083463, 0.0023822709619974796, 0.09915671855799063, 0.15724013388881783, 0.5721571469135405, 0.009147389892746724, 0.016742074717459587, 0.2857142857142857, 0.05453367003410037, 0.0018006760609441306, 0.1613086414132114, 0.41046487174604246, 0.4297064563512463, 0.8163180560235592]",,,08024343+3104031,,200.0783176347308,220.374633124,,,,,Unknown,Unknown,Unknown,,,,,,,,,,Seyfert_1,-0.0204902657,0.0365237651,0.097713,0.066744384,0.048439952,0.0541019414,2023-11-11 10:10:39.000,2017-12-14 06:39:44.001,2158.1464698999,Gemini,0.3355104102144957,27.0,56.15896718438478,12.026452219710189,17.585734999999993
101,Seyfert_1,0,21,0,0,0,0,0,0.6960000000000001,0.28064516,0.672,0.27096775,2507465400115010008,1.97,42.139656,1.0,-0.0641989999999999,6.0316e-06,0.603,0.295087,31.0676204,31.067631,20.715353,0.037648946,0.063066535,15.875569,22.237827,0.9999703,d6_m7,-69.31766,76.329605,1.0357143,30,zg,663,3.1,5.2.0,2.48,f,2460261.9654051,2460261.9654051,2458426.956042,2458101.7775926,2458166.744873,17.5668,17.5673,0.00037,3.1485536,16.854937,11.441242,16.532,17.56643,26.33443,0.0295649999999999,3.4624e-06,796.3675,0,2203,690,0.061086297,46.81144,16,2507,981,5,2,ZTF18aaabauf,145281206808571712,145281206782636270,145271206762915985,ztf_20231113465405_000663_zg_c01_o_q2_scimrefdiffimg.fits,2507465400115,1,Kulkarni,Fink,120.680852,120.6808487,0.93142855,t17_f5_c3,1,663120101,4.02,51.8945045471,0.9949315,17.0132,-999,21.3589,0.123042,0,0.00945833,0.161,0.0271,0.0324,0.025,0.059740763,16.2739,21.471,20.575,0.2440976,16.5131,21.4196,21.0652,-999,-999.0,,145.64726,0.9914973,16.0847,-999,20.6328,8,0,796.3675,957.475,-4.21e-06,26.295,Gaia DR3 877768208656046592,-0.1126,-0.3793806913,,0.1638,,Unknown,,,"[16.9486323158767, 16.930728998147014, 0.08206832934402761, 16.946184107799112, 0.13288851201986596, 0.3333333333333333, 0.396575795716695, 0.21476842551862063, -0.6353285764227721, 0.007962920342117555, 6.253143694267707E-4, 0.02074454124959303, 0.008190629464523997, 0.0013779136421731314, 0.2556668766999134, 0.17095357201576453, 0.6375080954666953, 0.03030182331259451, 0.06404812717784303, 0.16666666666666666, 0.150946514276054, 0.004842180054089071, 0.28681907307014437, 3.4445896599941084, -0.25864875361286255, 0.8253859243638164]","[16.2329838353909, 16.228974992349556, 0.04170129875909186, 16.227267027107654, 0.0642626756713085, 0.3333333333333333, 0.39678545533744397, 0.10954532945646278, -0.6651021129473875, 0.004154462959095989, 6.055681276850047E-4, 0.01604109442795642, 0.004093552126606479, 0.00174305772746623, 0.11250840368169945, 0.1682766605130825, 0.6782502655116852, 0.020687766891878078, 0.032900475675226915, 0.1111111111111111, 0.07736281060489958, 0.0025689238147441093, 0.2321400458751972, 0.7878699880485578, 0.46463262880102957, 0.8380973689463806]",,,08024343+3104031,,200.0783176347308,220.374633124,,,,,Unknown,Unknown,Unknown,,,,,,,,,,Seyfert_1,-0.0094570113,0.0382503198,0.162991,0.0852141404,0.0319779737,0.0530247523,2023-11-13 11:10:11.001,2017-12-14 06:39:44.001,2160.1878125002,Gemini,0.3415293251683475,29.0,53.34601357947687,12.082245072047762,17.566430000000004
