Unnamed: 0,d:DR3Name,d:Plx,d:anomaly_score,d:cdsxmatch,d:delta_time,d:e_Plx,d:from_upper,d:gcvs,d:jd_first_real_det,d:jdstarthist_dt,d:lc_features_g,d:lc_features_r,d:lower_rate,d:mag_rate,d:mangrove_2MASS_name,d:mangrove_HyperLEDA_name,d:mangrove_ang_dist,d:mangrove_lum_dist,d:mulens,d:nalerthist,d:rf_kn_vs_nonkn,d:rf_snia_vs_nonia,d:roid,d:sigma_rate,d:snn_sn_vs_all,d:snn_snia_vs_nonia,d:spicy_class,d:spicy_id,d:tns,d:upper_rate,d:vsx,d:x3hsp,d:x4lac,i:aimage,i:aimagerat,i:bimage,i:bimagerat,i:candid,i:chinr,i:chipsf,i:classtar,i:clrcoeff,i:clrcounc,i:clrmed,i:clrrms,i:dec,i:decnr,i:diffmaglim,i:distnr,i:distpsnr1,i:distpsnr2,i:distpsnr3,i:drb,i:drbversion,i:dsdiff,i:dsnrms,i:elong,i:exptime,filtercode,i:field,i:fink_broker_version,i:fink_science_version,i:fwhm,i:isdiffpos,mjd,i:jdendhist,i:jdendref,i:jdstarthist,i:jdstartref,i:magap,i:magapbig,i:magdiff,i:magfromlim,i:maggaia,i:maggaiabright,i:magnr,mag,i:magzpsci,i:magzpscirms,i:magzpsciunc,i:mindtoedge,i:nbad,i:ncovhist,i:ndethist,i:neargaia,i:neargaiabright,i:nframesref,i:nid,i:nmatches,i:nmtchps,i:nneg,i:objectId,i:objectidps1,i:objectidps2,i:objectidps3,i:pdiffimfilename,i:pid,i:programid,i:programpi,i:publisher,i:ra,i:ranr,i:rb,i:rbversion,i:rcid,i:rfid,i:schemavsn,i:scorr,i:seeratio,i:sgmag1,i:sgmag2,i:sgmag3,i:sgscore1,i:sgscore2,i:sgscore3,i:sharpnr,i:sigmagap,i:sigmagapbig,i:sigmagnr,i:sigmapsf,i:simag1,i:simag2,i:simag3,i:sky,i:srmag1,i:srmag2,i:srmag3,i:ssdistnr,i:ssmagnr,i:ssnamenr,i:ssnrms,i:sumrat,i:szmag1,i:szmag2,i:szmag3,i:tblid,i:tooflag,i:xpos,i:ypos,i:zpclrcov,i:zpmed,d:blazar_stats_m0,d:blazar_stats_m1,d:blazar_stats_m2,d:gaiaClass,d:gaiaVarFlag,d:is_transient,d:slsn_score,d:tracklet,v:classification,v:rate,v:sigma(rate),v:g-r,v:sigma(g-r),v:rate(g-r),v:sigma(rate(g-r)),v:lastdate,v:firstdate,v:lapse,v:constellation,flux,timedays,simulated_flux,simulated_mag,original_mag
11,Gaia DR3 1273650119017071104,-0.0214,-0.4365832165,BLLac,,0.1259,,Unknown,,,[],[],,,,,,,0,3,0,0,0,,0,0,,,,,Unknown,3HSPJ153202.2+301628,4FGL J1532.0+3016,0.881,0.5205721,0.803,0.4744829,2230535771515010001,2.986,0.8739519,0.725,-0.10427,3.72712e-05,0.505,0.280852,30.2746868,30.2746775,19.701328,0.038346857,0.08273584,4.288363,7.6282163,0.99739146,d6_m7,-7.7271085,3.4157965,1.0971358,30,zg,678,2.9,3.13.3,1.6923686999999998,f,2459985.0357755,2459985.0357755,2458204.95941,2458280.7980671,2458166.987847,19.3362,19.1565,-0.084589,0.36512908,17.2491,10.47215,17.17,19.42079,26.401789,0.04891,1.65006e-05,729.2762,0,2631,135,0.08372346,89.39059,15,2230,522,10,1,ZTF18aazqhzb,144332330091780058,144322330101659187,144332330080182375,ztf_20230209535776_000678_zg_c04_o_q4_scimrefdiffimg.fits,2230535771515,1,Kulkarni,Fink,233.0092729,233.0092793,0.95428574,t17_f5_c3,15,678120115,3.3,7.5080661774,2.0,17.5657,-999,-999,0.169375,0.5,0.141315,0.122,0.2138,0.2295,0.034,0.16324605,16.7353,19.217,20.2748,-0.1429679999999999,16.9508,-999,20.78,-999,-999,,11.142905,1.0,16.4324,-999,19.8502,1,0,733.7222,729.2762,-2.248e-05,26.3455,,,,,,,,,BLLac,-0.008435356,0.0171524662,,,,,2023-02-09 12:51:31.003,2018-06-11 07:09:12.997,1704.2377084,Corona Borealis,0.0618990523223018,0.0,0.0618990523223018,19.420790000000004,19.420790000000004
12,Fail 504,,-0.391211596,Fail 504,,,,Unknown,,,[],[],,,,,,,0,5,0,0,0,,0,0,,,,,Unknown,3HSPJ153202.2+301628,4FGL J1532.0+3016,0.676,0.49029458,0.596,0.43227157,2242474711515010000,2.986,2.5691543,0.975,-0.126084,4.1205e-05,0.5720000000000001,0.313058,30.2746765,30.2746775,20.750153,0.21295695,0.26989496,4.376116,7.565347,0.99977475,d6_m7,-12.433392,21.151077,1.1342282,30,zg,678,2.9,3.13.3,1.378763,f,2459996.9747106,2459996.9747106,2458204.95941,2458280.7980671,2458166.987847,19.4354,19.544,0.044669,1.314752,17.2491,10.47215,17.17,19.390732,26.40373,0.06389,2.27244e-05,701.7546,0,2635,137,0.270685,89.280464,15,2242,625,10,1,ZTF18aazqhzb,144332330091780058,144322330101659187,144332330080182375,ztf_20230221474711_000678_zg_c04_o_q4_scimrefdiffimg.fits,2242474711515,1,Kulkarni,Fink,233.0092127,233.0092793,0.94714284,t17_f5_c3,15,678120115,3.3,6.6802148819,2.0,17.5657,-999,-999,0.169375,0.5,0.141315,0.122,0.1256,0.1692,0.034,0.10289174,16.7353,19.217,20.2748,-0.1043446,16.9508,-999,20.78,-999,-999,,33.58447,1.0,16.4324,-999,19.8502,0,0,723.5658,701.7546,-2.775e-05,26.33,,,,,,,,,Unknown,-0.002517645,0.016162771,,,,,2023-02-21 11:23:34.996,2018-06-11 07:09:12.997,1716.1766435001,Corona Borealis,0.0636366340024555,12.0,0.0636366340024555,19.390732000000007,19.390732000000007
13,Gaia DR3 1273650119017071104,-0.0214,-0.423101494,BLLac,,0.1259,,Unknown,,,[],[],,,,,,,0,2,0,0,0,,0,0,,,,,Unknown,3HSPJ153202.2+301628,4FGL J1532.0+3016,0.903,0.6273999,0.812,0.5641735999999999,2262448581515010001,2.986,1.1990927,0.904,-0.0847359999999999,2.74274e-05,0.557,0.303079,30.274693,30.2746775,20.07767,0.44969743,0.51474565,4.5805855,7.3945804,0.99874175,d6_m7,-9.4041395,7.715649,1.112069,30,zg,678,2.9,3.13.3,1.4392734,f,2460016.948588,2460016.948588,2458204.95941,2458250.7575579,2458166.987847,19.6178,19.665,0.189986,0.4598683999999999,17.2491,10.47215,17.17,19.427814,26.338814,0.046812,1.42246e-05,733.7458,0,2637,139,0.5156666,89.062386,15,2262,608,10,1,ZTF18aazqhzb,144332330091780058,144322330101659187,144332330080182375,ztf_20230313448588_000678_zg_c04_o_q4_scimrefdiffimg.fits,2262448581515,1,Kulkarni,Fink,233.009134,233.0092793,0.9728571,t17_f5_c3,15,678120115,3.3,5.8678860664,2.0,17.5657,-999,-999,0.169375,0.5,0.141315,0.122,0.2363,0.3101,0.034,0.12279036,16.7353,19.217,20.2748,0.2628299,16.9508,-999,20.78,-999,-999,,17.11979,1.0,16.4324,-999,19.8502,1,0,738.6853,733.7458,-1.792e-05,26.29,,,,,,,,,BLLac,0.0018565249,0.0080204981,,,,,2023-03-13 10:45:58.003,2018-05-12 06:10:53.003,1766.1910301,Corona Borealis,0.0614998986398541,32.0,5.437876883672483,14.561426573218732,19.427814000000005
14,Gaia DR3 1273650119017071104,-0.0214,-0.4443129626,BLLac,,0.1259,,Unknown,,,[],[],,,,,,,0,3,0,0,0,,0,0,,,,,Unknown,3HSPJ153202.2+301628,4FGL J1532.0+3016,0.929,0.5693909500000001,0.8310000000000001,0.50932604,2278324561515010003,2.986,1.017744,0.807,-0.0970709999999999,2.79854e-05,0.548,0.296263,30.274705,30.2746775,20.080828,0.51947886,0.5835214,4.655861,7.3259463,0.9998754,d6_m7,-9.271825,7.0112433,1.1179302,30,zg,678,2.9,3.13.3,1.6315678,f,2460032.8245602,2460032.8245602,2458204.95941,2458250.7575579,2458166.987847,19.3876,19.5366,-0.0308829999999999,0.6932283,17.2491,10.47215,17.17,19.418484,26.297483,0.0476329999999999,1.39589e-05,720.7783,0,2661,141,0.5844986,88.98578,15,2278,587,10,2,ZTF18aazqhzb,144332330091780058,144322330101659187,144332330080182375,ztf_20230329324549_000678_zg_c04_o_q4_scimrefdiffimg.fits,2278324561515,1,Kulkarni,Fink,233.0091132,233.0092793,0.95285714,t17_f5_c3,15,678120115,3.3,7.5436859131,2.0,17.5657,-999,-999,0.169375,0.5,0.141315,0.122,0.1719,0.2463,0.034,0.14377229,16.7353,19.217,20.2748,-0.2056352,16.9508,-999,20.78,-999,-999,,16.283068,0.9962672,16.4324,-999,19.8502,3,0,723.7808,720.7783,-1.794e-05,26.245,,,,,,,,,BLLac,-0.0005876805,0.0119092717,,,,,2023-03-29 07:47:22.001,2018-05-12 06:10:53.003,1782.0670022997,Corona Borealis,0.062030659708729,48.0,11.988703122362372,13.70306948538552,19.418484
15,,,-0.4139263202,Unknown,,,,Unknown,,,[],[],,,,,,,0,2,0,0,0,,0,0,,,,,Unknown,3HSPJ153202.2+301628,4FGL J1532.0+3016,0.6930000000000001,0.5244201,0.5740000000000001,0.43436816,2303341591515010003,2.986,2.219005,0.8260000000000001,-0.107261,2.26608e-05,0.5730000000000001,0.3174309999999999,30.2746274,30.2746775,20.695807,1.1188649,1.1976393,4.8909283,7.3191223,0.99099934,d6_m7,-5.768249,7.84963,1.2073171,30,zg,678,2.9,3.13.3,1.3214597,f,2460057.8415972,2460057.8415972,2458204.95941,2458250.7575579,2458166.987847,20.1623,20.1691,-0.034883,0.5335061600000001,17.2491,10.47215,17.17,20.197184,26.346184,0.0512139999999999,1.26844e-05,707.6009,0,2695,139,1.1983632,88.74513,15,2303,641,10,2,ZTF18aazqhzb,144332330091780058,144322330101659187,144332330080182375,ztf_20230423341597_000678_zg_c04_o_q4_scimrefdiffimg.fits,2303341591515,1,Kulkarni,Fink,233.0089194,233.0092793,0.8842857,t17_f5_c3,15,678120115,3.3,5.02414608,2.0,17.5657,-999,-999,0.169375,0.5,0.141315,0.122,0.2657,0.3268,0.034,0.20722182,16.7353,19.217,20.2748,0.1515322,16.9508,-999,20.78,-999,-999,,13.617879,1.0,16.4324,-999,19.8502,3,0,783.5569,707.6009,-1.535e-05,26.284,,,,,,,,,Unknown,0.0311267877,0.0100816461,,,,,2023-04-23 08:11:53.998,2018-05-12 06:10:53.003,1807.0840392997,Corona Borealis,0.0302779452964916,73.0,10.68224099238277,13.82834407132784,20.197184
16,Gaia DR3 1273650119017071104,-0.0214,-0.415220801,BLLac,,0.1259,,Unknown,,,[],[],,,,,,,0,2,0,0,0,,0,0,,,,,Unknown,3HSPJ153202.2+301628,4FGL J1532.0+3016,0.753,0.60411704,0.729,0.5848623,2318437301515010001,2.986,1.7705836,0.981,-0.0559049999999999,3.03373e-05,0.539,0.297361,30.2746387,30.2746775,19.84454,0.13791433,0.17355815,4.1432824,7.784228,0.99970865,d6_m7,-6.5526342,8.874044,1.0329218,30,zg,678,2.9,3.13.3,1.2464472,f,2460072.9373032,2460072.9373032,2458204.95941,2458280.7980671,2458166.987847,19.0675,18.899,-0.1756279999999999,0.7770401,17.2491,10.47215,17.17,19.243128,26.297129,0.0429919999999999,1.49024e-05,727.8873,0,2728,153,0.17318773,89.52022,15,2318,586,10,5,ZTF18aazqhzb,144332330091780058,144322330101659187,144332330080182375,ztf_20230508437303_000678_zg_c04_o_q4_scimrefdiffimg.fits,2318437301515,1,Kulkarni,Fink,233.0092775,233.0092793,0.9685714,t17_f5_c3,15,678120115,3.3,6.1776547432,2.0,17.5657,-999,-999,0.169375,0.5,0.141315,0.122,0.1969,0.2141,0.034,0.13720468,16.7353,19.217,20.2748,0.6546803,16.9508,-999,20.78,-999,-999,,15.426679,0.9810183,16.4324,-999,19.8502,1,0,743.8674,727.8873,-1.925e-05,26.264,,,,,,,,,BLLac,-0.0632004889,0.0164634684,,,,,2023-05-08 10:29:42.996,2018-06-11 07:09:12.997,1792.1392361,Corona Borealis,0.0729035707190891,88.0,7.5829592591683,14.20040319333372,19.24312800000001
17,Gaia DR3 1273650119017071104,-0.0214,-0.4381226164,BLLac,,0.1259,,Unknown,,,[],[],,,,,,,0,3,0,0,0,,0,0,,,,,Unknown,3HSPJ153202.2+301628,4FGL J1532.0+3016,0.667,0.53786093,0.63,0.5080245999999999,2339424001515010001,2.986,1.6432389,0.927,-0.0624109999999999,1.13973e-05,0.58,0.316982,30.2746959,30.2746775,20.886215,0.08955112,0.13395773,4.341245,7.5773816,0.9999886,d6_m7,-16.508104,14.454919,1.0587301,30,zg,678,2.9,4.1.0,1.2400975,f,2460093.9240046,2460093.9240046,2458204.95941,2458280.7980671,2458166.987847,19.3705,19.2486,0.0361919999999999,1.5157155,17.2491,10.47215,17.17,19.334309,26.192308,0.033701,6.3958e-06,705.1348,0,2804,171,0.13502802,89.33601,15,2339,650,10,4,ZTF18aazqhzb,144332330091780058,144322330101659187,144332330080182375,ztf_20230529424005_000678_zg_c04_o_q4_scimrefdiffimg.fits,2339424001515,1,Kulkarni,Fink,233.0092587,233.0092793,0.93285716,t17_f5_c3,15,678120115,3.3,5.3194160461,2.0,17.5657,-999,-999,0.169375,0.5,0.141315,0.122,0.1231,0.1322,0.034,0.10707972,16.7353,19.217,20.2748,-0.2457465999999999,16.9508,-999,20.78,-999,-999,,30.963024,0.96276516,16.4324,-999,19.8502,1,0,744.6905,705.1348,-7.74e-06,26.157,,,,,,,,,BLLac,0.0043447037,0.0082930444,,,,,2023-05-29 10:10:33.997,2018-06-11 07:09:12.997,1813.1259375,Corona Borealis,0.0670311082802976,109.0,6.069980216231121,14.442031811025052,19.334309
17,Gaia DR3 1273650119017071104,-0.0214,-0.443685547,BLLac,,0.1259,,Unknown,,,[],[],,,,,,,0,3,0,0,0,,0,0,,,,,Unknown,3HSPJ153202.2+301628,4FGL J1532.0+3016,0.645,0.5092563999999999,0.553,0.4366182999999999,2267465771515010003,3.813,2.9352837,0.991,0.10126,1.16469e-05,0.582,0.31821,30.2746556,30.2746815,20.475084,0.25044924,0.34941018,4.361655,7.598379,0.8516881,d6_m7,-15.9274235,26.164305,1.1663653,30,zr,678,2.9,3.13.3,1.2665526,f,2460021.9657755,2460021.9657755,2458217.967326,2458280.7980671,2458160.989132,19.114,19.0287,0.327453,1.3610843,17.2491,10.47215,16.408,18.786547,26.206547,0.042442,6.592400000000001e-06,737.7485,0,2641,139,0.35003802,89.28444,15,2267,647,10,6,ZTF18aazqhzb,144332330091780058,144322330101659187,144332330080182375,ztf_20230318465729_000678_zr_c04_o_q4_scimrefdiffimg.fits,2267465771515,1,Kulkarni,Fink,233.0091914,233.0092673,0.8957143,t17_f5_c3,15,678120215,3.3,5.8754968643000005,2.0,17.5657,-999,-999,0.169375,0.5,0.141315,0.454,0.1394,0.155,0.061,0.12201959,16.7353,19.217,20.2748,0.1005408,16.9508,-999,20.78,-999,-999,,42.09173,0.99489695,16.4324,-999,19.8502,3,0,745.6229,737.7485,-7.94e-06,26.269,,,,,,,,,BLLac,0.0007512672,0.0034644161,,,,,2023-03-18 11:10:43.003,2018-06-11 07:09:12.997,1741.1677084002,Corona Borealis,0.1110148815795553,49.0,0.1110148815795553,18.78654700000001,18.78654700000001
18,Gaia DR3 1273650119017071104,-0.0214,-0.4362731773,BLLac,,0.1259,,Unknown,,,[],[],,,,,,,0,3,0,0,0,,0,0,,,,,Unknown,3HSPJ153202.2+301628,4FGL J1532.0+3016,0.47,0.4240643,0.409,0.36902615,2324302801515010000,3.813,5.85524,0.995,0.0982,9.6844e-06,0.5720000000000001,0.317044,30.2746311,30.2746815,20.7838,0.22994655,0.3048711,4.2331033,7.7214785,0.9149116,d6_m7,-10.904621,41.697994,1.1491443,30,zr,678,2.9,3.13.3,1.1083225,f,2460078.8028009,2460078.8028009,2458217.967326,2458280.7980671,2458160.989132,19.5281,19.5098,0.518995,1.2556994,17.2491,10.47215,16.408,19.009106,26.181105,0.039928,5.3939e-06,711.7736,0,2739,157,0.30509105,89.413704,15,2324,642,10,9,ZTF18aazqhzb,144332330091780058,144322330101659187,144332330080182375,ztf_20230514302801_000678_zr_c04_o_q4_scimrefdiffimg.fits,2324302801515,1,Kulkarni,Fink,233.0092218,233.0092673,0.66571426,t17_f5_c3,15,678120215,3.3,11.1350774765,2.0,17.5657,-999,-999,0.169375,0.5,0.141315,0.454,0.1881,0.2191,0.061,0.14774188,16.7353,19.217,20.2748,-0.4247826999999999,16.9508,-999,20.78,-999,-999,,52.602615,0.5254696600000001,16.4324,-999,19.8502,0,0,787.7493,711.7736,-6.54e-06,26.24,,,,,,,,,BLLac,0.0039157398,0.0033713121,,,,,2023-05-14 07:16:01.998,2018-06-11 07:09:12.997,1798.0047338,Corona Borealis,0.0904393849120402,106.0,7.066135686292612,14.277045068384275,19.009105999999996
