Unnamed: 0,d:cdsxmatch,d:mulens,d:nalerthist,d:rf_kn_vs_nonkn,d:rf_snia_vs_nonia,d:roid,d:snn_sn_vs_all,d:snn_snia_vs_nonia,i:aimage,i:aimagerat,i:bimage,i:bimagerat,i:candid,i:chinr,i:chipsf,i:classtar,i:clrcoeff,i:clrcounc,i:clrmed,i:clrrms,i:dec,i:decnr,i:diffmaglim,i:distnr,i:distpsnr1,i:distpsnr2,i:distpsnr3,i:drb,i:drbversion,i:dsdiff,i:dsnrms,i:elong,i:exptime,filtercode,i:field,i:fink_broker_version,i:fink_science_version,i:fwhm,i:isdiffpos,mjd,i:jdendhist,i:jdendref,i:jdstarthist,i:jdstartref,i:magap,i:magapbig,i:magdiff,i:magfromlim,i:maggaia,i:maggaiabright,i:magnr,mag,i:magzpsci,i:magzpscirms,i:magzpsciunc,i:mindtoedge,i:nbad,i:ncovhist,i:ndethist,i:neargaia,i:neargaiabright,i:nframesref,i:nid,i:nmatches,i:nmtchps,i:nneg,i:objectId,i:objectidps1,i:objectidps2,i:objectidps3,i:pdiffimfilename,i:pid,i:programid,i:programpi,i:publisher,i:ra,i:ranr,i:rb,i:rbversion,i:rcid,i:rfid,i:schemavsn,i:scorr,i:seeratio,i:sgmag1,i:sgmag2,i:sgmag3,i:sgscore1,i:sgscore2,i:sgscore3,i:sharpnr,i:sigmagap,i:sigmagapbig,i:sigmagnr,i:sigmapsf,i:simag1,i:simag2,i:simag3,i:sky,i:srmag1,i:srmag2,i:srmag3,i:ssdistnr,i:ssmagnr,i:ssnamenr,i:ssnrms,i:sumrat,i:szmag1,i:szmag2,i:szmag3,i:tblid,i:tooflag,i:xpos,i:ypos,i:zpclrcov,i:zpmed,d:DR3Name,d:Plx,d:anomaly_score,d:e_Plx,d:gcvs,d:mangrove_2MASS_name,d:mangrove_HyperLEDA_name,d:mangrove_ang_dist,d:mangrove_lum_dist,d:vsx,d:x3hsp,d:x4lac,d:delta_time,d:from_upper,d:jd_first_real_det,d:jdstarthist_dt,d:lc_features_g,d:lc_features_r,d:lower_rate,d:mag_rate,d:sigma_rate,d:spicy_class,d:spicy_id,d:tns,d:upper_rate,d:blazar_stats_m0,d:blazar_stats_m1,d:blazar_stats_m2,d:gaiaClass,d:gaiaVarFlag,d:tracklet,v:classification,v:rate,v:sigma(rate),v:g-r,v:sigma(g-r),v:rate(g-r),v:sigma(rate(g-r)),v:lastdate,v:firstdate,v:lapse,v:constellation,flux,timedays,simulated_flux,simulated_mag,original_mag
129,Seyfert_1,0,16,0,0,0,0,0,0.863,0.24657142,0.8270000000000001,0.23628572,2327228832415010001,1.765,3.877208,0.992,-0.0640879999999999,5.26235e-05,0.784,0.33356,40.3204268,40.3204905,20.279331,0.2272348,0.05846526,3.652151,28.567486,0.99997723,d6_m7,-28.95466,15.300764,1.0435308,30,zg,712,2.9,3.13.3,3.5,f,2460081.728831,2460081.728831,2458277.70647,2458186.7880556,2458166.775961,18.4898,18.4995,0.1373909999999999,1.7895317,16.758257,13.345249,16.847,18.35241,26.23041,0.041984,3.8807e-05,541.5844,0,1916,530,0.052160468,47.842243,16,2327,223,3,1,ZTF18aacajqc,156381574450645160,156381574464435471,156391574411443992,ztf_20230517228831_000712_zg_c07_o_q1_scimrefdiffimg.fits,2327228832415,1,Kulkarni,Fink,157.4450466,157.4450536,0.9442857,t17_f5_c3,24,712120124,3.3,16.8536071777,0.8574288,17.0015,-999,-999,0.4275179999999999,0.5,0.985,0.145,0.0695,0.0868,0.027,0.06755429,16.4425,19.8963,20.5258,0.4114161999999999,16.892,-999,21.8339,-999,-999,,44.255424,1.0,16.4156,-999,19.8953,1,0,824.154,541.5844,-4.164e-05,26.187,Gaia DR3 756465412954794880,0.0776,-0.3941262707,0.1018,Unknown,,,,,Unknown,Unknown,Unknown,,,,,[],[],,,,,,,,,,,,,,Seyfert_1,0.0024619418,0.0123662565,0.125882,0.1013668277,0.0158609386,0.0117367185,2023-05-17 05:29:30.998,2018-03-09 06:54:48.004,1894.9407754,Ursa Major,0.1655907221002766,0.0,0.1655907221002766,18.35241,18.35241
130,Seyfert_1,0,18,0,0,0,0,0,0.62,0.27555555,0.5760000000000001,0.256,2329201972415010002,1.765,15.69175,0.998,-0.07214,3.61233e-05,0.795,0.334151,40.320489,40.3204905,20.750067,0.032033846,0.16590825,3.5919087,28.3556,0.999992,d6_m7,-35.304287,53.163082,1.0763888,30,zg,712,2.9,3.13.3,2.25,f,2460083.7019792,2460083.7019792,2458277.70647,2458186.7880556,2458166.775961,18.3317,18.3483,0.1053979999999999,2.418366,16.758257,13.345249,16.847,18.226301,26.260302,0.03853,2.75558e-05,539.6551,0,1919,532,0.17231277,47.649143,16,2329,224,3,4,ZTF18aacajqc,156381574450645160,156381574464435471,156391574411443992,ztf_20230519201968_000712_zg_c07_o_q1_scimrefdiffimg.fits,2329201972415,1,Kulkarni,Fink,157.445042,157.4450536,0.9457143,t17_f5_c3,24,712120124,3.3,16.5869121552,1.0537045,17.0015,-999,-999,0.4275179999999999,0.5,0.985,0.145,0.0516,0.0639,0.027,0.073707715,16.4425,19.8963,20.5258,0.1038122,16.892,-999,21.8339,-999,-999,,88.46737,0.9726488,16.4156,-999,19.8953,2,0,849.4668,539.6551,-2.915e-05,26.2075,Gaia DR3 756465412954794880,0.0776,-0.3826149179,0.1018,Unknown,,,,,Unknown,Unknown,Unknown,,,,,[],[],,,,,,,,,,,,,,Seyfert_1,-0.063912584,0.0506713308,-0.211197,0.1188218977,-0.170833088,0.0791554296,2023-05-19 04:50:51.003,2018-03-09 06:54:48.004,1896.9139235998,Ursa Major,0.185985719858972,2.0,0.185985719858972,18.226301,18.226301
131,Seyfert_1,0,12,0,0,0,0,0,0.8210000000000001,0.33238867,0.7020000000000001,0.28421053,2345222532415010000,1.765,1.1577821,0.986,-0.04225,0.0001259093,0.6000000000000001,0.312982,40.3204104,40.3204905,19.017082,0.32479355,0.18163101,3.8029246,28.569838,0.99997663,d6_m7,-7.758794,9.818402,1.1695157,30,zg,712,2.9,4.1.0,2.47,f,2460099.7225347,2460099.7225347,2458277.70647,2458186.7880556,2458166.775961,18.4882,18.4121,0.190382,0.5288823,16.758257,13.345249,16.847,18.297817,26.171818,0.042461,7.28334e-05,514.1157,0,1931,541,0.17228535,47.95846,16,2345,132,3,5,ZTF18aacajqc,156381574450645160,156381574464435471,156391574411443992,ztf_20230604222535_000712_zg_c07_o_q1_scimrefdiffimg.fits,2345222532415,1,Kulkarni,Fink,157.444996,157.4450536,0.9457143,t17_f5_c3,24,712120124,3.3,11.6116361618,1.1609536,17.0015,-999,-999,0.4275179999999999,0.5,0.985,0.145,0.2095,0.2501,0.027,0.11562102,16.4425,19.8963,20.5258,1.129063,16.892,-999,21.8339,-999,-999,,17.577196,0.984306,16.4156,-999,19.8953,0,0,820.9519,514.1157,-8.728e-05,26.141,Gaia DR3 756465412954794880,0.0776,-0.3855712283,0.1018,Unknown,,,,,Unknown,Unknown,Unknown,,,,,[],[],,,,,,,,,,,,,,Seyfert_1,0.004464015,0.0085588113,,,,,2023-06-04 05:20:26.998,2018-03-09 06:54:48.004,1912.9344790997,Ursa Major,0.1741298396121648,18.0,0.1796309704572409,18.2640469595515,18.297817
132,Seyfert_1,0,14,0,0,0,0,0,0.998,0.48446602,0.921,0.44708738,2347200862415010000,1.765,2.3172863,0.707,-0.075971,6.65188e-05,0.771,0.329835,40.3204517,40.3204905,20.205727,0.31099957,0.26440954,3.8710303,28.385586,0.99999166,d6_m7,-17.592619,17.191317,1.0836048,30,zg,712,2.9,4.1.0,2.06,f,2460101.7008681,2460101.7008681,2458277.70647,2458186.7880556,2458166.775961,18.6757,18.6163,0.08398,1.5300258,16.758257,13.345249,16.847,18.59172,26.22072,0.046498,4.82563e-05,537.499,0,1933,540,0.2588572,47.88386,16,2347,212,3,0,ZTF18aacajqc,156381574450645160,156381574464435471,156391574411443992,ztf_20230606200856_000712_zg_c07_o_q1_scimrefdiffimg.fits,2347200862415,1,Kulkarni,Fink,157.4449508,157.4450536,0.9242857,t17_f5_c3,24,712120124,3.3,12.7977342606,1.67181,17.0015,-999,-999,0.4275179999999999,0.5,0.985,0.145,0.078,0.0911,0.027,0.12189123,16.4425,19.8963,20.5258,0.04796536,16.892,-999,21.8339,-999,-999,,34.783936,1.0,16.4156,-999,19.8953,0,0,817.2747,537.499,-5.224e-05,26.17,Gaia DR3 756465412954794880,0.0776,-0.3865012618,0.1018,Unknown,,,,,Unknown,Unknown,Unknown,,,,,[],[],,,,,,,,,,,,,,Seyfert_1,0.1485609048,0.0849225092,,,,,2023-06-06 04:49:15.004,2018-03-09 06:54:48.004,1914.9128124998,Ursa Major,0.1328348409222764,20.0,0.3255912544190177,17.618318172606443,18.59172
133,Seyfert_1,0,10,0,0,0,0,0,0.6880000000000001,0.4981712,0.663,0.48006904,2357242302415010000,1.765,2.7979493,0.983,-0.060541,6.23805e-05,0.786,0.3315929999999999,40.3204846,40.3204905,20.049696,0.3201977,0.3388329,3.8760898,28.260231,0.9998747,d6_m7,-15.167055,17.499113,1.0377074,30,zg,712,2.9,4.2.0,1.3810513,f,2460111.7423032,2460111.7423032,2458277.70647,2458186.7880556,2458166.775961,18.8519,18.8506,0.1859829999999999,1.1977961,16.758257,13.345249,16.847,18.665916,26.091917,0.043253,4.62739e-05,494.537,0,1935,540,0.3360905999999999,47.7982,16,2357,214,3,1,ZTF18aacajqc,156381574450645160,156381574464435471,156391574411443992,ztf_20230616242303_000712_zg_c07_o_q1_scimrefdiffimg.fits,2357242302415,1,Kulkarni,Fink,157.4449357,157.4450536,0.9671429,t17_f5_c3,24,712120124,3.3,15.849697113,2.0,17.0015,-999,-999,0.4275179999999999,0.5,0.985,0.145,0.1251,0.1566,0.027,0.09764906,16.4425,19.8963,20.5258,0.4438169999999999,16.892,-999,21.8339,-999,-999,,32.66617,1.0,16.4156,-999,19.8953,0,0,793.7439,494.537,-4.959e-05,26.046,Gaia DR3 756465412954794880,0.0776,-0.4106458941,0.1018,Unknown,,,,,Unknown,Unknown,Unknown,,,,,[],[],,,,,,,,,,,,,,Seyfert_1,0.0073889837,0.0155537509,,,,,2023-06-16 05:48:54.996,2018-03-09 06:54:48.004,1924.9542475999,Ursa Major,0.124060520805777,30.0,0.3679913372108438,17.485406012051335,18.665916000000003
134,Seyfert_1,0,9,0,0,0,0,0,0.68,0.49860877,0.661,0.48467705,2359264242415010000,1.765,2.1387925,0.974,-0.022874,6.961760000000001e-05,0.731,0.327854,40.3204854,40.3204905,19.702112,0.14530748,0.19808617,3.7049177,28.324217,0.99997425,d6_m7,-12.06311,11.28031,1.0287443,30,zg,712,2.9,4.2.0,1.3637947,f,2460113.7642477,2460113.7642477,2458277.70647,2458186.7880556,2458166.775961,19.0012,18.8564,0.423029,0.7009120600000001,16.758257,13.345249,16.847,18.57817,25.997171,0.039025,4.75788e-05,490.2723,0,1937,541,0.19933331,47.713314,16,2359,196,3,5,ZTF18aacajqc,156381574450645160,156381574464435471,156391574411443992,ztf_20230618264236_000712_zg_c07_o_q1_scimrefdiffimg.fits,2359264242415,1,Kulkarni,Fink,157.4450004,157.4450536,0.9057143,t17_f5_c3,24,712120124,3.3,11.4547348022,2.0,17.0015,-999,-999,0.4275179999999999,0.5,0.985,0.145,0.1941,0.2151,0.027,0.110539414,16.4425,19.8963,20.5258,-0.1423679,16.892,-999,21.8339,-999,-999,,23.34342,0.9335738,16.4156,-999,19.8953,0,0,782.7034,490.2723,-5.283e-05,25.98,Gaia DR3 756465412954794880,0.0776,-0.4192532108,0.1018,Unknown,,,,,Unknown,Unknown,Unknown,,,,,[],[],,,,,,,,,,,,,,Seyfert_1,-0.043396839,0.0729463113,,,,,2023-06-18 06:20:31.001,2018-03-09 06:54:48.004,1926.9761921,Ursa Major,0.1345030089516523,32.0,0.6374488274798473,16.888886683451254,18.578169999999993
135,Fail 500,0,9,0,0,0,0,0,0.912,0.45148516,0.851,0.42128712,2361237042415010000,1.765,1.8242408,0.921,-0.050109,8.809080000000001e-05,0.715,0.3221179999999999,40.3204275,40.3204905,19.769615,0.39569438,0.31586692,3.9443681,28.448551,0.99996,d6_m7,-10.9614315,16.646923,1.0716804,30,zg,712,3.0,4.2.0,2.02,f,2460115.7370486,2460115.7370486,2458277.70647,2458186.7880556,2458166.775961,18.5583,18.6176,0.036514,1.2113153,16.758257,13.345249,16.847,18.521786,26.166786,0.044279,5.74932e-05,508.8248,0,1940,546,0.30830985,47.983448,16,2361,186,3,1,ZTF18aacajqc,156381574450645160,156381574464435471,156391574411443992,ztf_20230620237049_000712_zg_c07_o_q1_scimrefdiffimg.fits,2361237042415,1,Kulkarni,Fink,157.4449332,157.4450536,0.95714283,t17_f5_c3,24,712120124,3.3,18.8523101807,1.6029095999999998,17.0015,-999,-999,0.4275179999999999,0.5,0.985,0.145,0.1037,0.138,0.027,0.106246606,16.4425,19.8963,20.5258,0.159409,16.892,-999,21.8339,-999,-999,,27.608355,1.0,16.4156,-999,19.8953,0,0,800.8061,508.8248,-6.526e-05,26.131,Gaia DR3 756465412954794880,0.0776,-0.4239307298,0.1018,Unknown,,,,,Unknown,Unknown,Unknown,,,,,[],[],,,,,,,,,,,,,,Unknown,-0.0285806845,0.0777173795,,,,,2023-06-20 05:41:20.999,2018-03-09 06:54:48.004,1928.9489929997,Ursa Major,0.1416725138064939,34.0,0.6905994534844789,16.801934424178576,18.521786
50,Seyfert_1,0,16,0,0,0,0,0,0.775,0.59349006,0.724,0.5544346,2325303732415010000,2.076,8.543343,0.98,0.130189,3.48278e-05,0.811,0.332937,40.3204347,40.3205027,20.272928,0.42882904,0.38505659,4.005343,28.397522,0.9988637,d6_m7,-28.65189,16.072746,1.070442,30,zr,712,2.9,3.13.3,1.3058348,f,2460079.8037384,2460079.8037384,2458184.815474,2458186.7880556,2458154.800891,18.2965,18.3063,-0.090228,1.9764273,16.758257,13.345249,16.365,18.386728,26.194729,0.052416,2.66673e-05,522.3307,0,1915,531,0.37810093,47.994377,20,2325,225,3,2,ZTF18aacajqc,156381574450645160,156381574464435471,156391574411443992,ztf_20230515303727_000712_zr_c07_o_q1_scimrefdiffimg.fits,2325303732415,1,Kulkarni,Fink,157.4449066,157.4450372,0.9671429,t17_f5_c3,24,712120224,3.3,6.5879502296,2.0,17.0015,-999,-999,0.4275179999999999,0.5,0.985,0.085,0.0695,0.0858,0.026,0.0753057,16.4425,19.8963,20.5258,0.0512595999999999,16.892,-999,21.8339,-999,-999,,44.724636,1.0,16.4156,-999,19.8953,0,0,810.5946,522.3307,-2.818e-05,26.298,Gaia DR3 756465412954794880,0.0776,-0.3811799568,0.1018,Unknown,,,,,Unknown,Unknown,Unknown,,,,,[],[],,,,,,,,,,,,,,Seyfert_1,-0.0225485367,0.0509307281,,,,,2023-05-15 07:17:22.998,2018-03-09 06:54:48.004,1893.0156827997,Ursa Major,0.1604385764906608,0.0,0.1604385764906608,18.386728,18.386728
51,Seyfert_1,0,17,0,0,0,0,0,0.839,0.35702127,0.773,0.32893616,2327237292415010001,2.076,5.471961,0.674,0.1234349999999999,3.08575e-05,0.795,0.332798,40.3203777,40.3205027,20.283525,0.46380132,0.28427812,3.8655117,28.671154,0.99929136,d6_m7,-34.94679,19.033148,1.0853816,30,zr,712,2.9,3.13.3,2.35,f,2460081.7372917,2460081.7372917,2458184.815474,2458186.7880556,2458154.800891,18.1948,18.1163,-0.031729,2.0887246,16.758257,13.345249,16.365,18.226528,26.278528,0.0496659999999999,2.34053e-05,538.439,0,1917,533,0.27504724,48.07272,20,2327,228,3,2,ZTF18aacajqc,156381574450645160,156381574464435471,156391574411443992,ztf_20230517237280_000712_zr_c07_o_q1_scimrefdiffimg.fits,2327237292415,1,Kulkarni,Fink,157.4449883,157.4450372,0.9657143,t17_f5_c3,24,712120224,3.3,6.4141588211,1.1606764,17.0015,-999,-999,0.4275179999999999,0.5,0.985,0.085,0.0602,0.0684,0.026,0.07557547,16.4425,19.8963,20.5258,-0.05639164,16.892,-999,21.8339,-999,-999,,53.97994,1.0,16.4156,-999,19.8953,1,0,832.8477,538.439,-2.483e-05,26.369,Gaia DR3 756465412954794880,0.0776,-0.3966894055,0.1018,Unknown,,,,,Unknown,Unknown,Unknown,,,,,[],[],,,,,,,,,,,,,,Seyfert_1,-0.0828526423,0.0551778267,0.125882,0.1013668277,0.0158609386,0.0117367185,2023-05-17 05:41:42.003,2018-03-09 06:54:48.004,1894.9492361001,Ursa Major,0.1859468390101135,2.0,0.1859468390101135,18.226527999999995,18.226527999999995
52,Seyfert_1,0,17,0,0,0,0,0,0.715,0.5783517,0.61,0.49341893,2329182982415010001,2.076,7.2188363,0.994,0.131998,2.21694e-05,0.795,0.330435,40.3203979,40.3205027,20.542345,0.3781411999999999,0.18559004,3.7735016,28.62987,0.99996936,d6_m7,-29.533405,29.740955,1.1721312,30,zr,712,2.9,3.13.3,1.236272,f,2460083.6829861,2460083.6829861,2458184.815474,2458186.7880556,2458154.800891,18.355,18.3361,-0.082498,2.1873446,16.758257,13.345249,16.365,18.437498,26.325499,0.0494919999999999,1.68338e-05,545.6842,0,1918,534,0.17656402,47.975983,20,2329,226,3,1,ZTF18aacajqc,156381574450645160,156381574464435471,156391574411443992,ztf_20230519182975_000712_zr_c07_o_q1_scimrefdiffimg.fits,2329182982415,1,Kulkarni,Fink,157.4450138,157.4450372,0.9242857,t17_f5_c3,24,712120224,3.3,15.8722324371,2.0,17.0015,-999,-999,0.4275179999999999,0.5,0.985,0.085,0.0624,0.0743,0.026,0.093197726,16.4425,19.8963,20.5258,0.1199725,16.892,-999,21.8339,-999,-999,,59.27436,1.0,16.4156,-999,19.8953,1,0,828.6328,545.6842,-1.788e-05,26.422,Gaia DR3 756465412954794880,0.0776,-0.3981259804,0.1018,Unknown,,,,,Unknown,Unknown,Unknown,,,,,[],[],,,,,,,,,,,,,,Seyfert_1,0.1084291552,0.0616692162,-0.211197,0.1188218977,-0.170833088,0.0791554296,2023-05-19 04:23:29.999,2018-03-09 06:54:48.004,1896.8949305001,Ursa Major,0.1531090282051963,4.0,0.1565995340498512,18.413023836216887,18.437498
