Unnamed: 0,d:DR3Name,d:Plx,d:anomaly_score,d:blazar_stats_m0,d:blazar_stats_m1,d:blazar_stats_m2,d:cdsxmatch,d:e_Plx,d:from_upper,d:gaiaClass,d:gaiaVarFlag,d:gcvs,d:jd_first_real_det,d:jdstarthist_dt,d:lc_features_g,d:lc_features_r,d:mangrove_2MASS_name,d:mangrove_HyperLEDA_name,d:mangrove_ang_dist,d:mangrove_lum_dist,d:mulens,d:nalerthist,d:rf_kn_vs_nonkn,d:rf_snia_vs_nonia,d:roid,d:snn_sn_vs_all,d:snn_snia_vs_nonia,d:spicy_class,d:spicy_id,d:tns,d:vsx,d:x3hsp,d:x4lac,i:aimage,i:aimagerat,i:bimage,i:bimagerat,i:candid,i:chinr,i:chipsf,i:classtar,i:clrcoeff,i:clrcounc,i:clrmed,i:clrrms,i:dec,i:decnr,i:diffmaglim,i:distnr,i:distpsnr1,i:distpsnr2,i:distpsnr3,i:drb,i:drbversion,i:dsdiff,i:dsnrms,i:elong,i:exptime,filtercode,i:field,i:fink_broker_version,i:fink_science_version,i:fwhm,i:isdiffpos,mjd,i:jdendhist,i:jdendref,i:jdstarthist,i:jdstartref,i:magap,i:magapbig,i:magdiff,i:magfromlim,i:maggaia,i:maggaiabright,i:magnr,mag,i:magzpsci,i:magzpscirms,i:magzpsciunc,i:mindtoedge,i:nbad,i:ncovhist,i:ndethist,i:neargaia,i:neargaiabright,i:nframesref,i:nid,i:nmatches,i:nmtchps,i:nneg,i:objectId,i:objectidps1,i:objectidps2,i:objectidps3,i:pdiffimfilename,i:pid,i:programid,i:programpi,i:publisher,i:ra,i:ranr,i:rb,i:rbversion,i:rcid,i:rfid,i:schemavsn,i:scorr,i:seeratio,i:sgmag1,i:sgmag2,i:sgmag3,i:sgscore1,i:sgscore2,i:sgscore3,i:sharpnr,i:sigmagap,i:sigmagapbig,i:sigmagnr,i:sigmapsf,i:simag1,i:simag2,i:simag3,i:sky,i:srmag1,i:srmag2,i:srmag3,i:ssdistnr,i:ssmagnr,i:ssnamenr,i:ssnrms,i:sumrat,i:szmag1,i:szmag2,i:szmag3,i:tblid,i:tooflag,i:xpos,i:ypos,i:zpclrcov,i:zpmed,d:delta_time,d:lower_rate,d:mag_rate,d:sigma_rate,d:upper_rate,d:is_transient,d:slsn_score,d:tracklet,v:classification,v:rate,v:sigma(rate),v:g-r,v:sigma(g-r),v:rate(g-r),v:sigma(rate(g-r)),v:lastdate,v:firstdate,v:lapse,v:constellation,flux,timedays,simulated_flux,simulated_mag,original_mag
34,Gaia DR3 2654940085631836288,0.1063,-0.0117849177,,,,Seyfert_2,0.1784,,,,Unknown,2460502.9574306,2181.0911690001,"[17.51345418220815, 17.517391114430648, 0.04011345900574603, 17.495710167883967, 0.06086500165166342, 0.2857142857142857, 0.35632037041434067, 0.10533870397390643, 2.8362959207163545, -0.0021290940529441115, 0.0017463109756433366, 0.03858003653923455, -0.002880409536375336, 0.0020426816993724672, 0.549651377997356, 0.11994128364954557, 0.4553808820075431, 0.011838098674797891, 0.020399785367537504, 0.42857142857142855, 0.09837922770725882, 0.0022904367458532046, 0.5480461621473859, 0.7894453500787563, 1.5754751285032282, 0.7673048807910078]","[16.91656076842606, 16.914601982772037, 0.019628551447219422, 16.906351239659735, 0.027091083629104062, 0.14285714285714285, 0.36543098675919056, 0.048836566927569436, 1.3857494829171744, -0.0017154117369591521, 7.247296009729509E-4, 0.014765867580750405, -0.0015704815670232464, 0.0021384324129773897, 0.11465200062170906, 0.18895823532057887, 0.6168942080266535, 0.012206125641851055, 0.006467247855841407, 0.2857142857142857, 0.04771491940236672, 0.0011603157235042221, 0.5483966004972504, 0.18543583023169466, 1.3687970942055692, 0.8544470271726651]",,,,,0,14,0,0,0,0,0,Unknown,-1.0,,,Unknown,Unknown,1.014,0.507,0.773,0.3865,2776358024915015007,2.429,2.3172338,0.707,-0.0397869999999999,3.59656e-05,0.639,0.287056,0.8072672,0.8071054999999999,20.175877,0.7185288999999999,0.7924407,20.245338,27.54981,0.9987,d6_m7,-9.124668,8.60783,1.3117723,30,zg,444,3.1,5.14.0,2.0,t,2460530.8580208,2460530.8580208,2458365.79375,2458321.8662616,2458277.960474,18.9882,18.9589,-0.140099,1.1876773,17.579454,-999,17.795,19.1283,26.110298,0.0429,2.24713e-05,192.4665,0,1634,446,0.79027605,-999,15,2776,577,4,2,ZTF18abtfqdy,108963433808758974,108973433786245433,108973433864265362,ztf_20240808358009_000444_zg_c13_o_q2_scimrefdiffimg.fits,2776358024915,1,Kulkarni,Fink,343.3807697,343.3808908,0.8857143,t17_f5_c3,49,444120149,4.02,7.2379336357,1.4071006,17.7824,22.0486,22.1799,0.104054,0.00791667,0.995,0.316,0.1233,0.1507,0.038,0.17609905,16.9226,20.3833,19.5996,0.06781434,17.3441,21.0889,20.9451,-999,-999,,17.732498,1.0,16.8595,20.038,19.0315,7,0,192.4665,1047.8173,-2.649e-05,26.087,5.0214120001,-0.1059731369,-0.0351271115,0.0423403564,0.0336267935,,,,Seyfert_2,-0.0126802979,0.0494890188,0.50239,0.1935862043,0.009814124,0.0307679521,2024-08-08 08:35:32.997,2018-07-22 08:47:25.002,2208.9917592001,Pisces,0.081036373975128,0.0,0.081036373975128,19.128300000000003,19.128300000000003
35,Gaia DR3 2654940085631836288,0.1063,-0.0120642493,,,,Seyfert_2,0.1784,,,,Unknown,2460502.9574306,2181.0911690001,"[17.51500725557854, 17.51885694835856, 0.037396737112226935, 17.505910060567736, 0.06086500165166342, 0.25, 0.355194729834816, 0.09714306899891056, 2.6629207552385097, -0.0013908292829197615, 0.0014881855494639556, 0.037739455546376276, -0.00182992113447443, 0.0017101828108034302, 0.6054362772339885, 0.19278592101284053, 0.4000171879362942, 0.011838098674797891, 0.017718235169498442, 0.0, 0.08817933502349007, 0.0021351254136829463, 0.5183064109362439, 0.6825070766080469, 1.4280051228791113, 0.7587858559579349]","[16.91656076842606, 16.914601982772037, 0.019628551447219422, 16.906351239659735, 0.027091083629104062, 0.14285714285714285, 0.36543098675919056, 0.048836566927569436, 1.3857494829171744, -0.0017154117369591521, 7.247296009729509E-4, 0.014765867580750405, -0.0015704815670232464, 0.0021384324129773897, 0.11465200062170906, 0.18895823532057887, 0.6168942080266535, 0.012206125641851055, 0.006467247855841407, 0.2857142857142857, 0.04771491940236672, 0.0011603157235042221, 0.5483966004972504, 0.18543583023169466, 1.3687970942055692, 0.8544470271726651]",,,,,0,15,0,0,0,0,0,Unknown,-1.0,,,Unknown,Unknown,0.676,0.24761905,0.619,0.22673993,2778273184915015010,2.429,1.7744987,0.6970000000000001,-0.0482849999999999,1.40144e-05,0.669,0.301695,0.807176,0.8071054999999999,20.502012,0.38770834,0.44632423,20.599083,27.674576,0.99999744,d6_m7,-14.564873,7.8468075,1.092084,60,zg,444,3.1,5.14.0,2.73,t,2460532.7731829,2460532.7731829,2458365.79375,2458321.8662616,2458277.960474,19.2581,19.341,0.0859979999999999,1.2439116,17.579454,-999,17.795,19.172102,26.753101,0.032012,9.6056e-06,162.2258,0,1634,449,0.44262826,-999,15,2778,637,4,4,ZTF18abtfqdy,108963433808758974,108973433786245433,108973433864265362,ztf_20240810273160_000444_zg_c13_o_q2_scimrefdiffimg.fits,2778273184915,1,Kulkarni,Fink,343.3808063,343.3808908,0.94857144,t17_f5_c3,49,444120149,4.02,5.9131178856,0.8896457999999999,17.7824,22.0486,22.1799,0.104054,0.00791667,0.995,0.316,0.1331,0.1813,0.038,0.109549455,16.9226,20.3833,19.5996,1.160869,17.3441,21.0889,20.9451,-999,-999,,22.41168,1.0,16.8595,20.038,19.0315,10,0,162.2258,1024.998,-1.08e-05,26.723,1.9151621,-0.1968844611,-0.01051878,0.1089487481,0.157237474,,,,Seyfert_2,0.0228711711,0.1082901787,0.474945,0.1243948561,-0.0143303797,0.120150673,2024-08-10 06:33:23.003,2018-07-22 08:47:25.002,2210.9069213001,Pisces,0.0778321809382385,2.0,0.0778321809382385,19.172102,19.172102
36,Fail 503,,-0.0121961003,,,,Fail 503,,,,,Unknown,2460508.8264468,2186.9601852,"[17.507466733540262, 17.511365406724885, 0.02214439233782603, 17.505910060567736, 0.03070312286694943, 0.375, 0.4295833803438537, 0.05491645020615721, -1.3195854083083072, 0.0028568524501720424, 5.047468952203571E-4, 0.009499911648146526, 0.002810690776085809, 0.002487477557235429, 0.03969403272174988, 0.382171306845793, 0.7075995492959187, 0.011838098674797891, 0.017718025801112702, 0.0, 0.03355066827983677, 0.0012648541719289684, 0.3684513366477614, 0.21641710349751445, -0.25965285402988003, 0.9408143361981476]","[16.916491364490142, 16.914805150460044, 0.018173567690667167, 16.911178388299213, 0.027091083629104062, 0.125, 0.3463063444457338, 0.04616377261773508, 1.923086321652658, -0.0012983630657022777, 6.447029585434181E-4, 0.015162877328873031, -0.0011128636396251408, 0.0018256527033416398, 0.12369299480180367, 0.20570961550620476, 0.5669245585627488, 0.012206125641851055, 0.008887590316833283, 0.0, 0.04288777076288852, 0.0010743107006702221, 0.5399655891110114, 0.1591048587173496, 1.4230905424440816, 0.8112939173326061]",,,,,0,16,0,0,0,0,0,,-1.0,,Fail 503,Unknown,Unknown,0.786,0.6493401,0.6950000000000001,0.574162,2779273414915015026,2.429,3.0653813,0.993,-0.04759,1.44768e-05,0.669,0.301411,0.8071318,0.8071054999999999,20.616705,0.09503914,0.19381373,20.856829,27.57453,0.9999989,d6_m7,-11.683934,10.937854,1.1309353,60,zg,444,3.1,5.14.0,1.2104597,t,2460533.7734144,2460533.7734144,2458365.79375,2458321.8662616,2458277.960474,19.1741,19.1573,-0.034399,1.442605,17.579454,-999,17.795,19.2085,26.700499,0.032385,9.9222e-06,159.3141,0,1636,456,0.19973575,-999,15,2779,641,4,2,ZTF18abtfqdy,108963433808758974,108973433786245433,108973433864265362,ztf_20240811273391_000444_zg_c13_o_q2_scimrefdiffimg.fits,2779273414915,1,Kulkarni,Fink,343.3808859,343.3808908,0.9128571,t17_f5_c3,49,444120149,4.02,7.2323422432,2.0,17.7824,22.0486,22.1799,0.104054,0.00791667,0.995,0.316,0.1126,0.1394,0.038,0.09660188,16.9226,20.3833,19.5996,0.5191116,17.3441,21.0889,20.9451,-999,-999,,22.621788,1.0,16.8595,20.038,19.0315,26,0,159.3141,1026.3264,-1.116e-05,26.669,1.0002314998,-0.2439840953,-0.0039241944,0.14439727,0.2323947052,,,,Unknown,0.0363895758,0.1460244246,0.5169739999999999,0.1160393408,0.0420192725,0.1700759084,2024-08-11 06:33:43.004,2018-07-22 08:47:25.002,2211.9071527999,Pisces,0.0752662017056476,3.0,33.44245322807938,12.58925467913378,19.208500000000008
37,Gaia DR3 2654940085631836288,0.1063,-0.0115471985,,,,Seyfert_2,0.1784,,,,Unknown,2460508.8264468,2186.9601852,"[17.509280115805026, 17.513041948232143, 0.021416641780481797, 17.516109953251505, 0.03070312286694943, 0.2222222222222222, 0.43245929571227076, 0.052753183542535, -1.0947677386862247, 0.0026169566684077585, 4.5654391463937054E-4, 0.009594979068511405, 0.002540706518732045, 0.0022243325693256707, 0.04242184114950489, 0.41151031050942655, 0.7019362597182915, 0.011838098674797891, 0.017655684770293334, 0.1111111111111111, 0.04375056096360552, 0.0012231594696545936, 0.4570615593814355, 0.2002061619110608, -0.4985311975916848, 0.9305121109330486]","[16.91707758382472, 16.915747760187863, 0.01621603922485849, 16.91545171893174, 0.027091083629104062, 0.2, 0.3456206072899951, 0.04081818411295046, 2.202863851620571, -8.161566258240597E-4, 5.340606144441637E-4, 0.015132192954535412, -6.451939812301322E-4, 0.0015165717299588078, 0.1221641895291654, 0.13235831089868377, 0.5688720161629702, 0.012206125641851055, 0.009795810609830369, 0.2, 0.03861444013035964, 9.585603154272622E-4, 0.48480368560135534, 0.12870040416418171, 1.3383845372464112, 0.7779947991229768]",,,,,0,19,0,0,0,0,0,Unknown,-1.0,,,Unknown,Unknown,1.07,0.45147678,0.859,0.36244726,2780397624915015009,2.429,1.4034927,0.968,-0.03382,1.95992e-05,0.664,0.299656,0.8071952,0.8071054999999999,20.398792,0.48462683,0.5409539,20.510303,27.675484,0.99996734,d6_m7,-13.540846,6.0653305,1.2456344,60,zg,444,3.1,5.14.0,2.37,t,2460534.8976273,2460534.8976273,2458365.79375,2458321.8662616,2458277.960474,19.1924,19.1373,0.029792,1.2063915,17.579454,-999,17.795,19.162607,26.779608,0.034654,1.32275e-05,204.06,0,1639,453,0.5370161,-999,15,2780,624,4,1,ZTF18abtfqdy,108963433808758974,108973433786245433,108973433864265362,ztf_20240812396759_000444_zg_c13_o_q2_scimrefdiffimg.fits,2780397624915,1,Kulkarni,Fink,343.3807882,343.3808908,0.9142857,t17_f5_c3,49,444120149,4.02,9.8391742706,1.1912082,17.7824,22.0486,22.1799,0.104054,0.00791667,0.995,0.316,0.1192,0.143,0.038,0.11646994,16.9226,20.3833,19.5996,0.1482461,17.3441,21.0889,20.9451,-999,-999,,19.606176,1.0,16.8595,20.038,19.0315,9,0,204.06,1060.9225,-1.499e-05,26.758,1.1242129002,-0.2671434916,-0.0653380382,0.1248427497,0.1399814455,,,,Seyfert_2,-0.0408223389,0.1345991574,0.423761,0.147033964,-0.0829140103,0.1666121618,2024-08-12 09:32:34.999,2018-07-22 08:47:25.002,2213.0313657001,Pisces,0.0785158252947244,4.0,42.638418018289485,12.32549729247438,19.162607
38,Gaia DR3 2654940085631836288,0.1063,-0.0114521571,,,,Seyfert_2,0.1784,,,,Unknown,2460508.8264468,2186.9601852,"[17.51165417119567, 17.515576640735635, 0.02154237173481234, 17.51994772038214, 0.03070312286694943, 0.2, 0.431023357566143, 0.05199315151172712, -0.9414539897353231, 0.0024846820959916614, 3.872393038779249E-4, 0.009216453632351688, 0.002394833992644462, 0.0019356070657788188, 0.03933460632042854, 0.3081422448114843, 0.745711492663585, 0.011838098674797891, 0.013446276689659697, 0.0, 0.04758832809424263, 0.0012301734333154354, 0.6004112744543023, 0.20505218301146447, -0.6525374662497901, 0.9090097735898582]","[16.919718718758723, 16.91850455802902, 0.0163586776744995, 16.91779603043139, 0.027091083629104062, 0.3333333333333333, 0.3796859342200257, 0.04426524469156945, 0.3175956476408395, -2.89350726859813E-4, 5.176983236800213E-4, 0.0168952606235109, -1.4575154468835617E-4, 0.001327961742352331, 0.1506928228178234, 0.14040778516601768, 0.5845667423136941, 0.012206125641851055, 0.011457152299186646, 0.16666666666666666, 0.03627012863071144, 9.668409946060626E-4, 0.35882860104662195, 0.13808859732080744, 0.8233486779094756, 0.8136517064231736]",,,,,0,22,0,0,0,0,0,Unknown,-1.0,,,Unknown,Unknown,0.726,0.311588,0.7000000000000001,0.3004292,2783354444915015014,2.429,1.9810816,0.951,-0.083966,2.4475e-05,0.666,0.2995819999999999,0.8071666,0.8071054999999999,20.378664,0.38282,0.42987284,20.624704,27.708416,0.9998627,d6_m7,-11.9145155,9.142594,1.0371429,30,zg,444,3.1,5.14.0,2.33,t,2460537.8544444,2460537.8544444,2458365.79375,2458321.8662616,2458277.960474,19.0981,19.1527,-0.106929,1.2805641,17.579454,-999,17.795,19.205029,26.26203,0.044686,1.66667e-05,164.994,0,1645,457,0.42523357,-999,15,2783,621,4,5,ZTF18abtfqdy,108963433808758974,108973433786245433,108973433864265362,ztf_20240815354398_000444_zg_c13_o_q2_scimrefdiffimg.fits,2783354444915,1,Kulkarni,Fink,343.3808022,343.3808908,0.9728571,t17_f5_c3,49,444120149,4.02,9.3070554733,1.0946343,17.7824,22.0486,22.1799,0.104054,0.00791667,0.995,0.316,0.1247,0.1646,0.038,0.10822031,16.9226,20.3833,19.5996,0.4741367999999999,17.3441,21.0889,20.9451,-999,-999,,21.05711,0.9665251,16.8595,20.038,19.0315,14,0,164.994,1039.1006,-1.882e-05,26.207,2.9568170998000003,-0.0898274172,-0.0067015207,0.0503426591,0.0763946163,,,,Seyfert_2,0.0143471843,0.0537696603,0.367512,0.1558744166,-0.0190234966,0.0724697416,2024-08-15 08:30:23.996,2018-07-22 08:47:25.002,2215.9881827999,Pisces,0.0755072059431136,7.0,45.57333438285427,12.25322298751373,19.205029000000003
39,Gaia DR3 2654940085631836288,0.1063,-0.0117037427,,,,Seyfert_2,0.1784,,,,Unknown,2460510.8582639,2188.9920023,"[17.510187987461002, 17.51388304488109, 0.021006357454039896, 17.516109953251505, 0.03070312286694943, 0.2727272727272727, 0.4398825142226849, 0.05010685172320706, -1.1752625935117513, 0.0017159269894547683, 6.011390880839062E-4, 0.01604149414853498, 0.0016552908324326248, 0.0017573447628056826, 0.12724189205340367, 0.4680818430708455, 0.7433471245028545, 0.01819148671816315, 0.017655684770293334, 0.09090909090909091, 0.04375056096360552, 0.001199664873334455, 0.6337126481057668, 0.20324038599791777, -0.4183043101469316, 0.9354658843624216]","[16.916331059427073, 16.91602349536555, 0.01230651921321196, 16.91545171893174, 0.020971249989075957, 0.3333333333333333, 0.3441285981799361, 0.0318006809956799, 0.10108273202436902, 3.719065253405816E-4, 4.257408474439209E-4, 0.012441222491207752, 3.885883312590032E-4, 0.0014327932813434528, 0.0886554193534959, 0.11490403023394614, 0.6258032047012813, 0.01399338718178611, 0.008835527707844903, 0.25, 0.02637477285030343, 7.274934009023089E-4, 0.24217017507517274, 0.08728265533415751, 0.5657400076296376, 0.805171582745304]",,,,,0,23,0,0,0,0,0,Unknown,-1.0,,,Unknown,Unknown,0.683,0.29188034,0.607,0.2594017,2785414964915015004,2.429,1.7158129999999998,0.6950000000000001,-0.040305,2.81085e-05,0.629,0.28112,0.8071011,0.8071054999999999,19.787025,0.47244817,0.45522246,20.783218,27.985542,0.9999839,d6_m7,-7.8517632,7.1561418,1.1252059,30,zg,444,3.1,5.14.0,2.34,t,2460539.9149653,2460539.9149653,2458365.79375,2458321.8662616,2458277.960474,19.4764,19.3158,0.4361379999999999,0.3106249,17.579454,-999,17.795,19.040262,26.196262,0.037075,1.69905e-05,198.1031,0,1647,458,0.44391763,-999,15,2785,561,5,3,ZTF18abtfqdy,108963433808758974,108973433786245433,108973433864265362,ztf_20240817414954_000444_zg_c13_o_q2_scimrefdiffimg.fits,2785414964915,1,Kulkarni,Fink,343.380758,343.3808908,0.9628571,t17_f5_c3,49,444120149,4.02,8.9264450073,1.0434617,17.7824,22.0486,22.1799,0.104054,0.00791667,0.995,0.316,0.3039,0.3345,0.038,0.13971771,16.9226,20.3833,19.5996,0.6438691999999999,17.3441,21.0889,20.9451,-999,-999,,15.007905,0.964215,16.8595,20.038,19.0315,4,0,198.1031,1048.2347,-2.037e-05,26.173,2.0605208999,-0.1967003445,-0.0756462435,0.0769161137,0.0531722184,,,,Seyfert_2,-0.0799637606,0.0857684497,0.356409,0.178574561,-0.0053884433,0.1150365645,2024-08-17 09:57:33.002,2018-07-22 08:47:25.002,2218.0487036998,Pisces,0.0878810424691725,9.0,46.68240625468932,12.227116915617636,19.04026200000001
40,,,-0.0119562075,,,,Unknown,,,,,Unknown,2460518.8435301,2196.9772684998,"[17.50796417089741, 17.51213661189255, 0.02609264491401829, 17.516109953251505, 0.04293871157869944, 0.09090909090909091, 0.40062324915157027, 0.05989532210917048, 1.5465335765747605, -4.130866907803432E-4, 0.0010417981184908433, 0.027266928284779245, 3.140244093089121E-4, 0.0017538379515026723, 0.3235889060620943, 0.3380804651925525, 0.6218646604562473, 0.01818702414562723, 0.017655684770293334, 0.09090909090909091, 0.06822173838710555, 0.0014903300383371104, 0.7021416278266972, 0.2944359003934614, -1.1960775373651364, 0.880912880192649]","[16.915155197169707, 16.914905608540764, 0.012179673625434819, 16.91489790092479, 0.020971249989075957, 0.2727272727272727, 0.3353072403867121, 0.030103564224550183, 1.0109279286529462, 0.0011625720425511288, 4.285611549187873E-4, 0.00952266097508815, 0.0011629402828890105, 0.001865225968888745, 0.051790336097861885, 0.08925913678776072, 0.6628383384402586, 0.01399338718178611, 0.00904912047650086, 0.2727272727272727, 0.026928590857256296, 7.200450414710211E-4, 0.33498223987307674, 0.08548465226577177, 0.8626664769785733, 0.780171102862034]",,,,,0,22,0,0,0,0,0,Unknown,-1.0,,,Unknown,Unknown,0.984,0.28688046,0.807,0.23527697,2790359804915015002,2.429,1.175813,0.958,-0.022569,7.791450000000001e-05,0.579,0.2439289999999999,0.8072758,0.8071054999999999,19.073624,1.0559528,1.1045777,20.052284,27.42781,0.9920554,d6_m7,-4.1472006,3.4592717,1.2193309,30,zg,444,3.1,5.14.0,3.43,t,2460544.8598032,2460544.8598032,2458365.79375,2458321.8662616,2458277.960474,19.1754,18.9952,0.320439,-0.101776764,17.579454,-999,17.795,18.854961,26.229961,0.0423319999999999,3.84795e-05,197.6147,0,1650,444,1.0982037,-999,15,2790,380,5,2,ZTF18abtfqdy,108963433808758974,108973433786245433,108973433733071802,ztf_20240822359803_000444_zg_c13_o_q2_scimrefdiffimg.fits,2790359804915,1,Kulkarni,Fink,343.3806477,343.3808908,0.87142855,t17_f5_c3,49,444120149,4.02,6.3674688339,0.8392263999999999,17.7824,22.0486,22.0746,0.104054,0.00791667,0.97375,0.316,0.3718,0.4039,0.038,0.1844284,16.9226,20.3833,20.0277,1.242438,17.3441,21.0889,21.3129,-999,-999,,7.6064725,1.0,16.8595,20.038,19.4387,2,0,197.6147,1047.857,-5.135e-05,26.215,4.9448378999,-0.0438253178,0.016945497,0.0394951169,0.0851428615,,,,Unknown,-0.0374736248,0.0467914313,,,,,2024-08-22 08:38:06.996,2018-07-22 08:47:25.002,2222.9935415997,Pisces,0.1042354870449123,14.0,46.04188877394877,12.242117171593556,18.854960999999996
41,Gaia DR3 2654940085631836288,0.1063,-0.0122238388,,,,Seyfert_2,0.1784,,,,Unknown,2460520.8515278,2198.9852661998,"[17.511839906056412, 17.514797708315424, 0.024986476864158867, 17.51994772038214, 0.042933492482902125, 0.08333333333333333, 0.3059391938728383, 0.05219492806754644, 3.1042155348077083, -1.6864659769111497E-4, 8.516440219182931E-4, 0.026154806686255354, 2.8332069167487557E-4, 0.0014820677913492842, 0.2847696608677218, 0.12708419530133744, 0.6743287004566211, 0.033660476348413224, 0.011786759239962308, 0.16666666666666666, 0.07204906732614802, 0.0014268333309464174, 0.9583133385267729, 0.26220372670616265, -1.6591682124133773, 0.814821539186256]","[16.916174659188265, 16.915927514938844, 0.012333879210528757, 16.91545171893174, 0.020971249989075957, 0.3, 0.33462165462698656, 0.032076725881580614, 0.9697529321130016, 0.0012994069037981443, 5.412291084367026E-4, 0.009973504310612204, 0.0013175493872545885, 0.0022719845250539334, 0.05648857173280869, 0.08678444131234292, 0.6204924666176577, 0.01399338718178611, 0.008532939306615361, 0.3, 0.02637477285030343, 7.291175138008776E-4, 0.3036543860082276, 0.08757839323428546, 0.7116793447005949, 0.7647414187399936]",,,,,0,22,0,0,0,0,0,Unknown,-1.0,,,Unknown,Unknown,0.8290000000000001,0.67398375,0.716,0.5821138,2795332084915015011,2.429,2.9221177,0.993,-0.078731,1.9062e-05,0.666,0.298462,0.8071265,0.8071054999999999,20.332153,0.2980163999999999,0.31428376,20.768454,27.78716,0.9999889,d6_m7,-9.02872,12.563653,1.1578212,30,zg,444,3.1,5.14.0,1.23,t,2460549.8320833,2460549.8320833,2458365.79375,2458321.8662616,2458277.960474,19.0852,19.0565,-0.1078949999999999,1.246953,17.579454,-999,17.795,19.193094,26.258095,0.0401679999999999,1.29089e-05,174.3282,0,1658,467,0.306774,-999,15,2795,625,4,3,ZTF18abtfqdy,108963433808758974,108973433786245433,108973433864265362,ztf_20240827332083_000444_zg_c13_o_q2_scimrefdiffimg.fits,2795332084915,1,Kulkarni,Fink,343.3808097,343.3808908,0.93285716,t17_f5_c3,49,444120149,4.02,7.0385713577,1.9745797,17.7824,22.0486,22.1799,0.104054,0.00791667,0.995,0.316,0.1335,0.1638,0.038,0.16273083,16.9226,20.3833,19.5996,-0.1299657,17.3441,21.0889,20.9451,-999,-999,,21.592373,0.9456208,16.8595,20.038,19.0315,11,0,174.3282,1041.4542,-1.462e-05,26.205,2.995081,-0.1386644604,0.0225559689,0.0956492786,0.1715072127,,,,Seyfert_2,0.0680036107,0.049465764,0.450773,0.1841557696,0.0095152644,0.025866329,2024-08-27 07:58:11.997,2018-07-22 08:47:25.002,2227.9658217002,Pisces,0.0763418007728718,19.0,42.15001501945274,12.338005665714093,19.193093999999995
42,Gaia DR3 2654940085631836288,0.1063,-0.0126130804,,,,Seyfert_2,0.1784,,,,Unknown,2460522.8811458,2201.0148841999,"[17.513650502406747, 17.517151625286164, 0.024456862309705594, 17.520381789095495, 0.042933492482902125, 0.08333333333333333, 0.28574417970932287, 0.05199241299813906, 4.508802678174616, -3.890815963008355E-4, 8.277067003947005E-4, 0.02537178805010851, -1.5471203390421135E-4, 0.0014610708011219638, 0.2572626450178527, 0.10959327493700206, 0.6735002080407713, 0.033660476348413224, 0.009953145889625148, 0.25, 0.07248313603950152, 0.001396445721372863, 1.1543202253329614, 0.23489445847020385, -2.001296651033865, 0.7393085094397819]","[16.917999936023946, 16.917692444672447, 0.012066294573386592, 16.91779603043139, 0.020971249989075957, 0.3, 0.31338853040495446, 0.03236758235213699, 0.8468060120881633, 9.405080335880861E-4, 4.95536847406053E-4, 0.010627330648583684, 9.503214842794325E-4, 0.0019074905716488515, 0.06444705735218462, 0.15056455228547497, 0.5159593378934736, 0.01399338718178611, 0.006188627806967162, 0.2, 0.02403046135065523, 7.132222850819092E-4, 0.38486567332408167, 0.08486497026599812, 0.3103056852087938, 0.7731102408753447]",,,,,0,22,0,0,0,0,0,Unknown,-1.0,,,Unknown,Unknown,0.755,0.5869348999999999,0.672,0.5224109,2797315944915015009,2.429,3.490182,0.679,-0.0958649999999999,2.98376e-05,0.664,0.301373,0.8071634,0.8071054999999999,20.52293,0.24865586,0.326488,20.70388,27.586275,0.9993918,d6_m7,-9.79155,18.920465,1.1235119,30,zg,444,3.1,5.15.0,1.2863436,t,2460551.8159491,2460551.8159491,2458365.79375,2458321.8662616,2458277.960474,19.1402,19.1971,0.0080629999999999,1.3827308,17.579454,-999,17.795,19.132137,26.263138,0.0502569999999999,2.03451e-05,194.5117,0,1660,472,0.32701558,-999,15,2797,624,4,3,ZTF18abtfqdy,108963433808758974,108973433786245433,108973433864265362,ztf_20240829315949_000444_zg_c13_o_q2_scimrefdiffimg.fits,2797315944915,1,Kulkarni,Fink,343.3808516,343.3808908,0.96,t17_f5_c3,49,444120149,4.02,11.4819374084,2.0,17.7824,22.0486,22.1799,0.104054,0.00791667,0.995,0.316,0.1148,0.1509,0.038,0.12535435,16.9226,20.3833,19.5996,0.3434859999999999,17.3441,21.0889,20.9451,-999,-999,,28.712015,0.98154014,16.8595,20.038,19.0315,9,0,194.5117,1053.683,-2.294e-05,26.2015,1.9838657998,-0.15904467,0.002648337,0.0966846363,0.1584665431,,,,Seyfert_2,-0.0307263727,0.103542439,0.4932109999999999,0.1618717307,0.0213915679,0.1235896328,2024-08-29 07:34:58.002,2018-07-22 08:47:25.002,2229.9496875,Pisces,0.0807504962581101,21.0,36.69118453708359,12.488595668169758,19.132136999999993
