Unnamed: 0,d:cdsxmatch,d:mulens,d:nalerthist,d:rf_kn_vs_nonkn,d:rf_snia_vs_nonia,d:roid,d:snn_sn_vs_all,d:snn_snia_vs_nonia,i:aimage,i:aimagerat,i:bimage,i:bimagerat,i:candid,i:chinr,i:chipsf,i:classtar,i:clrcoeff,i:clrcounc,i:clrmed,i:clrrms,i:dec,i:decnr,i:diffmaglim,i:distnr,i:distpsnr1,i:distpsnr2,i:distpsnr3,i:drb,i:drbversion,i:dsdiff,i:dsnrms,i:elong,i:exptime,filtercode,i:field,i:fink_broker_version,i:fink_science_version,i:fwhm,i:isdiffpos,mjd,i:jdendhist,i:jdendref,i:jdstarthist,i:jdstartref,i:magap,i:magapbig,i:magdiff,i:magfromlim,i:maggaia,i:maggaiabright,i:magnr,mag,i:magzpsci,i:magzpscirms,i:magzpsciunc,i:mindtoedge,i:nbad,i:ncovhist,i:ndethist,i:neargaia,i:neargaiabright,i:nframesref,i:nid,i:nmatches,i:nmtchps,i:nneg,i:objectId,i:objectidps1,i:objectidps2,i:objectidps3,i:pdiffimfilename,i:pid,i:programid,i:programpi,i:publisher,i:ra,i:ranr,i:rb,i:rbversion,i:rcid,i:rfid,i:schemavsn,i:scorr,i:seeratio,i:sgmag1,i:sgmag2,i:sgmag3,i:sgscore1,i:sgscore2,i:sgscore3,i:sharpnr,i:sigmagap,i:sigmagapbig,i:sigmagnr,i:sigmapsf,i:simag1,i:simag2,i:simag3,i:sky,i:srmag1,i:srmag2,i:srmag3,i:ssdistnr,i:ssmagnr,i:ssnamenr,i:ssnrms,i:sumrat,i:szmag1,i:szmag2,i:szmag3,i:tblid,i:tooflag,i:xpos,i:ypos,i:zpclrcov,i:zpmed,d:DR3Name,d:Plx,d:anomaly_score,d:blazar_stats_m0,d:blazar_stats_m1,d:blazar_stats_m2,d:delta_time,d:e_Plx,d:from_upper,d:gaiaClass,d:gaiaVarFlag,d:gcvs,d:jd_first_real_det,d:jdstarthist_dt,d:lc_features_g,d:lc_features_r,d:lower_rate,d:mag_rate,d:mangrove_2MASS_name,d:mangrove_HyperLEDA_name,d:mangrove_ang_dist,d:mangrove_lum_dist,d:sigma_rate,d:spicy_class,d:spicy_id,d:tns,d:upper_rate,d:vsx,d:x3hsp,d:x4lac,d:is_transient,d:slsn_score,d:tracklet,v:classification,v:rate,v:sigma(rate),v:g-r,v:sigma(g-r),v:rate(g-r),v:sigma(rate(g-r)),v:lastdate,v:firstdate,v:lapse,v:constellation,flux,timedays,simulated_flux,simulated_mag,original_mag
37,Seyfert_1,0,13,0,0,0,0,0,1.204,0.356213,1.082,0.32011834,1547460024415010009,1.872,1.2312474,0.984,-0.038833,4.66205e-05,0.47,0.194845,6.0648518,6.0648804,18.988272,0.117815845,0.044159446,2.3794653,6.198427,0.9999698,d6_m7,-19.144249,16.121758,1.1127541,30,zg,482,1.4,0.5.1,3.38,f,2459301.9600231,2459301.9600231,2458343.66897,2458249.8303588,2458203.917662,17.4068,17.3694,0.034605,1.5814718,16.547783,-999,16.301,17.372194,26.365194,0.040644,1.48994e-05,785.5124,0,514,362,0.046511784,-999,15,1547,901,12,0,ZTF18aauylsc,115272444401818294,115272444407188429,115272444383858482,ztf_20210328460023_000482_zg_c12_o_q1_scimrefdiffimg.fits,1547460024415,1,Kulkarni,Fink,244.4401522,244.4401678,0.8971427999999999,t17_f5_c3,44,482120144,3.3,18.3825054169,1.0504367,16.3563,-999,-999,0.16978,0.5,0.5,0.1,0.065,0.0801,0.028,0.055250008,16.009,-999,-999,0.2437370999999999,15.8985,-999,-999,-999,-999,,35.266006,1.0,15.7718,19.101,20.5085,9,0,2286.9875,1127.0525,-2.474e-05,26.345,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,Seyfert_1,0.0023387956,0.0201694498,0.35305,0.1014223908,0.0047614931,0.0319479609,2021-03-28 11:02:25.996,2018-05-11 07:55:43.000,1052.1296643,Hercules,0.408434481823155,0.0,0.408434481823155,17.372194,17.372194
38,Seyfert_1,0,10,0,0,0,0,0,0.651,0.2657143,0.623,0.25428572,1552357334415010005,1.872,17.097546,1.0,-0.024158,1.38331e-05,0.502,0.240896,6.0648773,6.0648804,19.743055,0.06960654,0.09860696,2.380772,6.184818,0.99990547,d6_m7,-30.47369,38.45315,1.0449438,30,zg,482,1.4,0.5.1,2.45,f,2459306.857338,2459306.857338,2458343.66897,2458249.8303588,2458203.917662,17.3895,17.3537,0.046043,2.3535547,16.547783,-999,16.301,17.343456,26.228456,0.035276,5.4567e-06,800.7967,0,516,364,0.09869032,-999,15,1552,1508,12,6,ZTF18aauylsc,115272444401818294,115272444407188429,115272444383858482,ztf_20210402357338_000482_zg_c12_o_q1_scimrefdiffimg.fits,1552357334415,1,Kulkarni,Fink,244.4401498,244.4401678,0.93857145,t17_f5_c3,44,482120144,3.3,38.2036094666,0.9556528,16.3563,-999,-999,0.16978,0.5,0.5,0.1,0.0497,0.0608,0.028,0.059195835,16.009,-999,-999,0.2540751,15.8985,-999,-999,-999,-999,,68.92684,0.9455347,15.7718,19.101,20.5085,5,0,2271.7034,1129.3536,-8.02e-06,26.216,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,Seyfert_1,-0.0058681136,0.0165342678,0.398952,0.0821657046,0.0093728913,0.0266530865,2021-04-02 08:34:34.003,2018-05-11 07:55:43.000,1057.0269792001,Hercules,0.419389545291881,5.0,0.419389545291881,17.343455999999996,17.343455999999996
39,Seyfert_1,0,12,0,0,0,0,0,0.835,0.34221312,0.81,0.3319671999999999,1554399814415010008,1.872,11.548286,0.984,-0.060611,6.533000000000001e-06,0.523,0.264079,6.0648493,6.0648804,20.386375,0.14228024,0.064678535,2.3992422,6.1800585,0.9999944,d6_m7,-67.25664,69.38895,1.0308642,30,zg,482,1.4,0.5.1,2.44,f,2459308.8998148,2459308.8998148,2458343.66897,2458249.8303588,2458203.917662,17.4059,17.3944,0.0203479999999999,2.9804763999999997,16.547783,-999,16.301,17.385551,26.354551,0.031597,2.8938e-06,769.7946,0,519,367,0.06719844,-999,15,1554,1629,12,0,ZTF18aauylsc,115272444401818294,115272444407188429,115272444383858482,ztf_20210404399803_000482_zg_c12_o_q1_scimrefdiffimg.fits,1554399814415,1,Kulkarni,Fink,244.4401469,244.4401678,0.9514286,t17_f5_c3,44,482120144,3.3,35.7915878296,1.1688921,16.3563,-999,-999,0.16978,0.5,0.5,0.1,0.0263,0.0316,0.028,0.048242014,16.009,-999,-999,0.2300269999999999,15.8985,-999,-999,-999,-999,,136.64558,1.0,15.7718,19.101,20.5085,8,0,2302.7053,1129.8116,-3.99e-06,26.322,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,Seyfert_1,0.0206097812,0.0373878704,0.427261,0.0738310673,0.013860133,0.0540832103,2021-04-04 09:35:43.999,2018-05-11 07:55:43.000,1059.0694559999,Hercules,0.4034405990360291,7.0,42.84320647653571,12.320295082756758,17.385551
40,Seyfert_1,0,13,0,0,0,0,0,0.871,0.29228187,0.804,0.26979867,1556422914415010009,1.872,3.6086571,0.984,-0.072784,5.1702e-06,0.527,0.266712,6.0648616,6.0648804,20.699602,0.08194837,0.03432565,2.3537815,6.218852,0.99999416,d6_m7,-90.907875,111.16285,1.0833334,30,zg,482,1.4,0.5.1,2.98,f,2459310.9229167,2459310.9229167,2458343.66897,2458249.8303588,2458203.917662,17.3513,17.3178,0.02095,3.348303,16.547783,-999,16.301,17.33035,26.35735,0.031276,2.3287000000000003e-06,779.5333,0,522,370,0.034909215,-999,15,1556,1635,12,0,ZTF18aauylsc,115272444401818294,115272444407188429,115272444383858482,ztf_20210406422905_000482_zg_c12_o_q1_scimrefdiffimg.fits,1556422914415,1,Kulkarni,Fink,244.4401585,244.4401678,0.93142855,t17_f5_c3,44,482120144,3.3,19.4256534576,0.95186377,16.3563,-999,-999,0.16978,0.5,0.5,0.1,0.021,0.024,0.028,0.043105558,16.009,-999,-999,0.2635592,15.8985,-999,-999,-999,-999,,202.07072,1.0,15.7718,19.101,20.5085,9,0,2292.9668,1111.0443,-3.18e-06,26.319,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,Seyfert_1,-0.0272853285,0.0319778855,0.403113,0.0793770383,-0.0119361264,0.0535837794,2021-04-06 10:09:00.003,2018-05-11 07:55:43.000,1061.0925579001,Hercules,0.4244827048316403,9.0,46.96084148333596,12.2206603241043,17.330350000000003
41,Seyfert_1,0,15,0,0,0,0,0,0.841,0.2880137,0.8130000000000001,0.27842465,1558354124415010008,1.872,16.678131,0.985,-0.0562709999999999,6.0238e-06,0.523,0.266283,6.0648646,6.0648804,20.513407,0.06536116,0.043926246,2.3539646,6.217181,0.9999943,d6_m7,-71.1545,81.136986,1.0344404,30,zg,482,1.4,0.5.1,2.92,f,2459312.8541204,2459312.8541204,2458343.66897,2458249.8303588,2458203.917662,17.395,17.3743,0.011774,3.1184058,16.547783,-999,16.301,17.383226,26.327227,0.03033,2.6904e-06,772.6325,0,524,372,0.043899577,-999,15,1558,1628,12,0,ZTF18aauylsc,115272444401818294,115272444407188429,115272444383858482,ztf_20210408354109_000482_zg_c12_o_q1_scimrefdiffimg.fits,1558354124415,1,Kulkarni,Fink,244.4401582,244.4401678,0.9457143,t17_f5_c3,44,482120144,3.3,43.0426483154,0.95216936,16.3563,-999,-999,0.16978,0.5,0.5,0.1,0.0246,0.029,0.028,0.044057768,16.009,-999,-999,-0.1217308999999999,15.8985,-999,-999,-999,-999,,152.29149,1.0,15.7718,19.101,20.5085,8,0,2299.8674,1121.6371,-3.69e-06,26.297,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,Seyfert_1,0.027379815,0.0319166003,0.4567429999999999,0.06408751,0.0277702451,0.0528267574,2021-04-08 08:29:56.003,2018-05-11 07:55:43.000,1063.0237615998,Hercules,0.4043054540752194,11.0,47.31594614729435,12.212481177929249,17.383226
42,Seyfert_1,0,16,0,0,0,0,0,0.679,0.2716,0.605,0.242,1561478264415010002,1.872,3.7449484,0.975,-0.045035,0.0002787051,0.472,0.199149,6.0648708,6.0648804,18.914108,0.048269417,0.06486987,2.354073,6.214216,0.9990704,d6_m7,-14.052581,11.901742,1.1223141,30,zg,482,1.4,0.5.1,2.5,f,2459315.9782639,2459315.9782639,2458343.66897,2458249.8303588,2458203.917662,17.5809,17.6114,0.1166929999999999,1.3332083,16.547783,-999,16.301,17.464207,24.698208,0.1084619999999999,9.02157e-05,770.0152,0,528,375,0.06461842,-999,15,1561,1057,12,6,ZTF18aauylsc,115272444401818294,115272444407188429,115272444383858482,ztf_20210411478264_000482_zg_c12_o_q1_scimrefdiffimg.fits,1561478264415,1,Kulkarni,Fink,244.4401577,244.4401678,0.73,t17_f5_c3,44,482120144,3.3,15.869597435,0.9981707,16.3563,-999,-999,0.16978,0.5,0.5,0.1,0.1195,0.1556,0.028,0.0968185999999999,16.009,-999,-999,-3.45823,15.8985,-999,-999,-999,-999,,25.954323,0.929258,15.7718,19.101,20.5085,2,0,2302.4849,1143.1777,-0.00014854,24.691,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,Seyfert_1,0.0259210244,0.0340482604,,,,,2021-04-11 11:28:42.001,2018-05-11 07:55:43.000,1066.1479051001,Hercules,0.3752469750636309,14.0,46.03250748951676,12.242338418772,17.464206999999995
43,Seyfert_1,0,18,0,0,0,0,0,1.111,0.25599077,1.024,0.2359446999999999,1568420184415010009,1.872,3.4304473,0.987,-0.048475,1.14086e-05,0.523,0.266013,6.0648315,6.0648804,20.419353,0.21663219,0.13667643,2.453808,6.1369963,0.9999498,d6_m7,-73.66806,61.43896,1.0849609,30,zg,482,1.4,0.5.1,4.34,f,2459322.9201852,2459322.9201852,2458343.66897,2458249.8303588,2458203.917662,17.4009,17.3653,0.0069879999999999,3.0184526,16.547783,-999,16.301,17.393911,26.350912,0.038499,5.0975e-06,777.5273,0,532,378,0.13909459,-999,15,1568,1630,12,0,ZTF18aauylsc,115272444401818294,115272444407188429,115272444383858482,ztf_20210418420185_000482_zg_c12_o_q1_scimrefdiffimg.fits,1568420184415,1,Kulkarni,Fink,244.4401336,244.4401678,0.94,t17_f5_c3,44,482120144,3.3,30.8226032257,0.74245054,16.3563,-999,-999,0.16978,0.5,0.5,0.1,0.0237,0.0275,0.028,0.044970937,16.009,-999,-999,0.4588739,15.8985,-999,-999,-999,-999,,135.10703,1.0,15.7718,19.101,20.5085,9,0,2294.9727,1156.0729,-7e-06,26.325,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,Seyfert_1,-0.0101263032,0.0153780352,0.3473159999999999,0.0661930497,-0.0108708817,0.0091529609,2021-04-18 10:05:04.001,2018-05-11 07:55:43.000,1073.0898263999,Hercules,0.4003460980150954,21.0,42.849077995798545,12.320146296408254,17.393910999999996
44,Seyfert_1,0,17,0,0,0,0,0,0.939,0.33898917,0.882,0.31841156,1574355754415010008,1.872,7.357611,0.984,-0.034692,1.98197e-05,0.487,0.222693,6.0648588,6.0648804,19.539537,0.12928219,0.09158589,2.4234805,6.1504536,0.999985,d6_m7,-29.79064,30.206255,1.0646259,30,zg,482,1.4,0.5.1,2.77,f,2459328.8557523,2459328.8557523,2458343.66897,2458249.8303588,2458203.917662,17.3452,17.3385,-0.017331,2.1943376,16.547783,-999,16.301,17.362532,26.324532,0.037839,7.1458e-06,784.9617,0,535,381,0.093529955,-999,15,1574,1396,12,0,ZTF18aauylsc,115272444401818294,115272444407188429,115272444383858482,ztf_20210424355752_000482_zg_c12_o_q1_scimrefdiffimg.fits,1574355754415,1,Kulkarni,Fink,244.4401392,244.4401678,0.9614286,t17_f5_c3,44,482120144,3.3,29.6788921356,1.0264353,16.3563,-999,-999,0.16978,0.5,0.5,0.1,0.0472,0.0594,0.028,0.044983856,16.009,-999,-999,-0.5599788,15.8985,-999,-999,-999,-999,,59.996895,1.0,15.7718,19.101,20.5085,8,0,2287.5383,1150.9375,-1.105e-05,26.306,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,Seyfert_1,-0.0052866052,0.0107163551,,,,,2021-04-24 08:32:16.999,2018-05-11 07:55:43.000,1079.0253935,Hercules,0.4120853734893747,27.0,34.05789403744316,12.569455525122784,17.36253200000001
45,Seyfert_1,0,15,0,0,0,0,0,0.707,0.32731482,0.673,0.31157407,1585377824415010007,1.872,36.94943,1.0,-0.0600179999999999,4.3486e-06,0.527,0.26644,6.0648705,6.0648804,20.745394,0.048699882,0.0629777,2.3516498,6.216774,0.99994075,d6_m7,-84.43607,82.65119,1.0505201,30,zg,482,1.4,0.5.1,2.16,f,2459339.8778241,2459339.8778241,2458343.66897,2458249.8303588,2458203.917662,17.4114,17.3944,0.0444279999999999,3.3339934,16.547783,-999,16.301,17.366972,26.321972,0.027571,1.9539e-06,770.1589,0,542,388,0.06253821,-999,15,1585,1634,12,5,ZTF18aauylsc,115272444401818294,115272444407188429,115272444383858482,ztf_20210505377812_000482_zg_c12_o_q1_scimrefdiffimg.fits,1585377824415,1,Kulkarni,Fink,244.4401584,244.4401678,0.9285714,t17_f5_c3,44,482120144,3.3,45.8557434082,1.163463,16.3563,-999,-999,0.16978,0.5,0.5,0.1,0.0234,0.0274,0.028,0.06619594,16.009,-999,-999,0.09091443,15.8985,-999,-999,-999,-999,,167.08727,0.97264916,15.7718,19.101,20.5085,7,0,2302.341,1134.4028,-2.67e-06,26.289,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,Seyfert_1,0.0004028281,0.0072612532,0.37619,0.0802029808,0.0017027135,0.006132373,2021-05-05 09:04:04.002,2018-05-11 07:55:43.000,1090.0474653002,Hercules,0.4104036362046479,38.0,27.40718124189399,12.805339070585816,17.366971999999997
46,Seyfert_1,0,14,0,0,0,0,0,0.771,0.2976834,0.74,0.2857143,1587336144415010009,1.872,20.237747,0.986,-0.080205,4.7574e-06,0.526,0.267623,6.0648728,6.0648804,20.844112,0.044963658,0.07127041,2.352506,6.214926,0.99998665,d6_m7,-94.46808,127.00513,1.0418919,30,zg,482,1.4,0.5.1,2.59,f,2459341.8361458,2459341.8361458,2458343.66897,2458249.8303588,2458203.917662,17.3633,17.3217,-0.001511,3.4808128,16.547783,-999,16.301,17.36481,26.342812,0.0318979999999999,2.1443e-06,775.5509,0,543,389,0.070892625,-999,15,1587,1634,12,1,ZTF18aauylsc,115272444401818294,115272444407188429,115272444383858482,ztf_20210507336146_000482_zg_c12_o_q1_scimrefdiffimg.fits,1587336144415,1,Kulkarni,Fink,244.440158,244.4401678,0.94285715,t17_f5_c3,44,482120144,3.3,25.9563999176,1.0130242,16.3563,-999,-999,0.16978,0.5,0.5,0.1,0.0207,0.0234,0.028,0.04534619,16.009,-999,-999,0.1381022999999999,15.8985,-999,-999,-999,-999,,221.4732,1.0,15.7718,19.101,20.5085,9,0,2296.9492,1123.6877,-2.93e-06,26.3,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,Seyfert_1,-0.0011040066,0.0409729753,0.397397,0.0716798707,0.0108291707,0.0549278297,2021-05-07 08:04:02.997,2018-05-11 07:55:43.000,1092.0057870001,Hercules,0.4112216771489951,40.0,18.58275277229067,13.22722487746222,17.36481
